"1","Financial Year","30-09-2010","30-09-2011","30-09-2012","30-09-2013","30-09-2014","30-09-2015","30-09-2016","30-09-2017","30-09-2018","30-09-2019"
"2","Sales/Revenue","200,688.00","225,494.00","258,450.00","292,884.00","338,161.00","333,488.00","283,813.00","315,607.00","339,099.00","337,412.00"
"3","Pretax Income","30,252.00","40,690.00","39,828.00","50,146.00","63,182.00","75,415.00","34,134.00","33,864.00","47,173.00","41,830.00"
"4","Net Income","20,482.00","27,782.00","26,919.00","34,694.00","41,396.00","56,538.00","23,217.00","22,508.00","32,597.00","27,718.00"
"5","Cash & Short-Term Investments","26,228.00","37,798.00","43,897.00","90,399.00","113,512.00","95,390.00","87,638.00","78,938.00","102,645.00","83,325.00"
"6","Cash Only","13,885.00","20,455.00","23,043.00","39,001.00","41,125.00","65,702.00","38,063.00","52,127.00","-","62,324.00"
"7","Total Accounts Receivables","56,937.00","65,519.00","80,896.00","85,656.00","88,809.00","106,006.00","91,074.00","105,242.00","105,095.00","118,380.00"
"8","Inventories","69,513.00","78,531.00","115,731.00","172,404.00","174,709.00","217,512.00","314,764.00","331,405.00","368,915.00","272,864.00"
"9","Net Property, Plant & Equipment","91,159.00","124,185.00","104,269.00","45,779.00","52,464.00","165,396.00","127,914.00","131,473.00","128,456.00","249,595.00"
"10","Accrued Payable","33,517.00","30,213.00","-","-","-","71,097.00","-","-","97,183.00","76,053.00"
"11","Short Term Debt","38,268.00","41,164.00","43,231.00","65,421.00","65,350.00","91,351.00","66,141.00","83,188.00","118,506.00","141,634.00"
"12","Long Term Debt","-","-","-","-","3,586.00","81,330.00","101,817.00","97,534.00","62,101.00","47,320.00"
"13","Net Operating Cash Flow","13,490.00","18,520.00","477.00","44,206.00","55,656.00","(11,138.00)","(7,105.00)","(2,528.00)","39,925.00","(491.00)"
"14","Capital Expenditures","(1,096.00)","(3,625.00)","(1,750.00)","(2,004.00)","(12,945.00)","(104,867.00)","(13,220.00)","(1,517.00)","(1,873.00)","(405.00)"
"15","Total Shares Outstanding (million)","353,736.00","353,736.00","387,989.00","403,003.24","410,542.09","411,951.34","521,102.00","508,692.00","504,898.00","492,635.00"
