"1","Financial Year","31-12-2017       3","31-03-2018       Other","31-07-2018       Other","31-10-2018       1","31-01-2019       2","30-04-2019       3","31-07-2019       4","31-10-2019       1","31-01-2020       2","30-04-2020       3"
"2","Sales/Revenue","1,268.58","1,321.08","1,904.40","1,587.23","1,403.48","1,505.97","1,720.99","2,215.49","4,953.44","8,367.53"
"3","Pretax Income","(2,668.09)","(1,088.02)","(1,012.06)","(682.52)","(1,001.88)","(1,025.13)","(827.11)","(797.79)","(586.22)","(2.44)"
"4","Net Income","(2,650.73)","(1,068.57)","(986.12)","(663.07)","(982.43)","(1,005.68)","(807.66)","(778.34)","(566.77)","17.01"
"5","Cash & Short-Term Investments","10,561.70","9,601.05","14,428.77","11,981.98","11,360.60","10,595.93","14,440.67","11,395.38","8,516.88","8,078.58"
"6","Cash Only","1,253.07","1,167.34","1,140.62","976.28","798.76","902.68","676.06","632.49","525.04","612.23"
"7","Total Accounts Receivables","117,723.60","118,374.57","115,741.73","116,172.66","115,787.51","115,704.14","114,719.96","115,258.06","118,824.98","122,077.82"
"8","Net Property, Plant & Equipment","29,780.53","29,094.60","28,160.33","27,692.15","27,226.49","26,761.10","26,295.70","25,831.61","25,933.89","25,471.61"
"9","Short Term Debt","140.59","506.26","566.61","466.81","328.95","196.51","583.31","459.07","285.95","191.34"
"10","Long Term Debt","1,378.16","903.86","740.93","740.93","740.93","740.93","235.27","235.27","295.25","447.43"
"11","Net Operating Cash Flow","(87,366.00)","(852.00)","4,931.44","(2,347.00)","(483.00)","(633.00)","3,963.87","(2,921.00)","(2,312.00)","(492.00)"
"12","Capital Expenditures","(345.00)","(1.00)","(1.26)","-","-","-","-","-","(346.00)","(34.00)"
"13","Total Shares Outstanding (million)","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96"
