"1","Financial Year","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4"
"2","Sales/Revenue","42,053.00","33,528.00","34,273.00","31,293.00","31,964.00","23,735.00","20,767.00","15,387.00","14,856.00","10,695.00"
"3","Pretax Income","(26,239.00)","(375,537.00)","(23,634.00)","(22,997.00)","(21,749.00)","34,256.00","(25,168.00)","(3,154.00)","(6,416.00)","(31,163.00)"
"4","Net Income","(20,558.00)","(263,747.00)","(19,448.00)","(19,128.00)","(18,321.00)","43,491.00","(20,768.00)","(2,983.00)","(3,350.00)","(17,711.00)"
"5","Cash & Short-Term Investments","2,177.00","742.00","1,227.00","2,051.00","1,292.00","3,408.00","3,292.00","1,379.00","266.00","621.00"
"6","Cash Only","2,177.00","742.00","1,227.00","2,051.00","1,292.00","3,408.00","3,292.00","1,379.00","266.00","621.00"
"7","Total Accounts Receivables","65,733.00","60,007.00","65,710.00","63,444.00","56,907.00","50,459.00","52,599.00","13,763.00","13,984.00","35,632.00"
"8","Inventories","90,328.00","99,651.00","91,718.00","94,005.00","89,904.00","90,833.00","86,542.00","14,509.00","14,326.00","14,817.00"
"9","Net Property, Plant & Equipment","1,003,803.00","999,105.00","558,135.00","553,969.00","549,814.00","497,051.00","491,351.00","230,419.00","227,588.00","205,607.00"
"10","Short Term Debt","799,459.00","803,465.00","802,579.00","802,097.00","798,734.00","801,017.00","817,062.00","800,059.00","799,782.00","798,026.00"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","1,506.00","(5,441.00)","1,465.00","1,306.00","2,604.00","(2,684.00)","(695.00)","1,518.00","(1,896.00)","2,114.00"
"13","Capital Expenditures","1.00","-","-","-","-","-","-","(1,992.00)","1,061.00","(2.00)"
"14","Total Shares Outstanding (million)","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85","1,041,603.85"
