"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-09-2020       TTM","","",""
"2","Sales/Revenue","34,065.00","39,591.00","50,844.00","52,335.73","47,182.85","68,880.01","53,898.01","","",""
"3","Pretax Income","4,576.00","6,056.00","6,747.00","6,530.43","6,252.58","3,839.59","(354.41)","","",""
"4","Net Income","4,075.00","5,769.00","6,410.00","5,237.10","4,721.32","2,421.88","(597.12)","","",""
"5","Cash & Short-Term Investments","2,937.00","3,439.00","8,351.00","14,605.65","12,441.35","12,979.22","7,973.56","","",""
"6","Cash Only","1,500.00","1,984.00","5,951.00","6,744.04","8,602.21","7,189.31","3,927.58","","",""
"7","Total Accounts Receivables","16,068.00","19,423.00","23,539.00","30,030.51","35,503.28","45,180.35","44,690.09","","",""
"8","Inventories","1,753.00","1,857.00","3,545.00","3,729.99","1,587.48","2,491.34","2,260.34","","",""
"9","Net Property, Plant & Equipment","4,403.00","4,714.00","4,956.00","7,107.81","8,209.08","14,778.02","15,077.26","","",""
"10","Accrued Payable","1,148.00","685.00","476.00","-","7,918.44","17,787.44","4,446.86","","",""
"11","Short Term Debt","3,248.00","5,050.00","3,159.00","269.34","327.18","4,504.94","5,570.24","","",""
"12","Long Term Debt","2,894.00","2,221.00","2,145.00","2,324.42","2,166.52","5,096.64","5,175.66","","",""
"13","Net Operating Cash Flow","3,005.00","2,550.00","1,262.00","324.14","621.44","1,445.54","(2,725.46)","","",""
"14","Capital Expenditures","(122.00)","(296.00)","(491.00)","(960.57)","(1,503.37)","(3,030.41)","(3,672.41)","","",""
"15","Total Shares Outstanding (million)","132,757.22","132,756.75","149,875.56","178,750.67","178,750.00","178,750.00","178,750.00","178,750.00","569,440.30","569,440.30"
