"1","Financial Year","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3"
"2","Sales/Revenue","166,568.00","151,019.00","168,248.48","155,270.00","165,362.00","165,775.00","164,906.17","160,963.00","153,865.00","165,189.00"
"3","Pretax Income","7,748.00","6,609.00","4,054.80","9,601.00","11,245.00","9,912.00","12,133.52","10,492.00","9,654.00","11,596.00"
"4","Net Income","6,206.00","5,263.00","1,936.91","7,396.00","8,876.00","7,687.00","9,210.07","8,083.00","7,558.00","9,234.00"
"5","Cash & Short-Term Investments","30,575.00","31,657.00","32,044.28","29,597.00","26,802.00","28,483.00","43,770.00","36,076.00","46,237.00","47,309.00"
"6","Cash Only","26,049.00","26,520.00","24,075.43","23,005.00","20,205.00","22,599.00","33,778.00","31,824.00","37,893.00","43,860.00"
"7","Total Accounts Receivables","47,959.00","53,162.00","55,343.54","53,066.00","56,352.00","55,594.00","52,453.00","56,017.00","56,582.00","52,117.00"
"8","Inventories","56,373.00","56,804.00","55,220.94","60,119.00","62,066.00","58,582.00","55,720.00","59,824.00","58,234.00","55,752.00"
"9","Net Property, Plant & Equipment","182,358.00","183,418.00","173,431.12","174,312.00","175,846.00","175,533.00","188,842.00","187,666.00","190,714.00","190,816.00"
"10","Short Term Debt","49,516.00","52,376.00","51,978.74","49,141.00","58,337.00","48,212.00","46,280.00","44,863.00","51,701.00","41,944.00"
"11","Long Term Debt","3,649.00","4,557.00","3,878.96","4,295.00","4,190.00","6,004.00","16,565.00","18,396.00","18,286.00","19,063.00"
"12","Net Operating Cash Flow","3,668.00","(2,405.00)","18,018.39","5,729.00","1,664.00","15,127.00","27,088.00","(917.00)","10,923.00","21,519.00"
"13","Capital Expenditures","(3,650.00)","(2,485.00)","(17,781.07)","(5,779.00)","(5,745.00)","(4,521.00)","(7,788.00)","(8,622.00)","(837.00)","(7,661.00)"
"14","Total Shares Outstanding (million)","630,718.80","630,718.80","628,402.20","628,402.20","628,402.20","628,402.20","628,402.20","626,967.60","626,967.60","626,967.60"
