"1","Financial Year","30-06-2016       4","30-09-2016       1","31-12-2016       2"
"2","Sales/Revenue","78,574.68","51,488.12","75,185.62"
"3","Pretax Income","(364,770.66)","11,655.23","8,917.97"
"4","Net Income","(365,355.10)","11,546.80","7,179.85"
"5","Cash & Short-Term Investments","691,486.15","642,311.14","659,928.76"
"6","Cash Only","691,486.15","642,311.14","659,928.76"
"7","Total Accounts Receivables","72,202.17","67,389.68","91,852.48"
"8","Inventories","17,715.47","23,291.88","22,013.00"
"9","Net Property, Plant & Equipment","136,482.02","191,523.17","195,021.82"
"10","Long Term Debt","-","-","-"
"11","Net Operating Cash Flow","(1,037.99)","(10,081.37)","(10,043.65)"
"12","Capital Expenditures","(1.49)","(55,070.82)","(2,335.04)"
"13","Total Shares Outstanding (million)","485,169.00","485,169.00","485,169.00"
"14","Financial Year","30-06-2007","30-06-2008","30-06-2009"
"15","Sales/Revenue","198,777.30","303,340.19","434,008.93"
"16","Cash & Short-Term Investments","30,284.39","35,494.72","94,301.49"
"16","Pretax Income","43,474.26","70,216.82","110,771.98"
"17","Cash Only","30,284.39","35,494.72","94,301.49"
"17","Net Income","40,049.19","61,656.93","92,216.38"
"18","Total Accounts Receivables","59,568.37","74,141.41","66,231.74"
"19","Inventories","13,269.20","13,759.18","19,763.26"
"20","Net Property, Plant & Equipment","25,596.00","31,099.50","32,262.59"
"21","Long Term Debt","-","-","-"
"22","Net Operating Cash Flow","49,202.96","54,137.37","93,458.49"
"23","Capital Expenditures","(12,202.60)","(4,361.40)","(4,665.00)"
"24","Total Shares Outstanding (million)","234,687.00","234,687.00","234,687.00"
