"1","Financial Year","31-12-2012","31-12-2013","31-03-2015","31-03-2016","31-03-2017","31-03-2018","31-03-2019","31-03-2020","30-09-2020       TTM","30-09-2020       TTM"
"2","Sales/Revenue","178,729.00","260,741.00","285,172.00","241,310.00","318,353.00","258,601.00","219,559.00","247,540.00","208,825.00","208,825.00"
"3","Pretax Income","35,432.00","93,744.00","75,537.00","65,100.00","71,868.00","70,341.00","40,474.00","63,395.00","49,073.00","49,073.00"
"4","Net Income","28,118.00","81,899.00","71,910.00","63,048.00","62,656.00","67,244.00","36,533.00","60,322.00","44,751.00","44,751.00"
"5","Cash & Short-Term Investments","43,316.00","35,424.00","48,983.00","43,170.00","53,319.00","32,743.00","37,113.00","46,380.00","63,167.75","63,167.75"
"6","Cash Only","7,611.00","27,142.00","45,018.00","15,299.00","16,253.00","23,941.00","26,935.00","12,854.00","26,702.25","26,702.25"
"7","Total Accounts Receivables","75,744.00","138,351.00","109,459.00","137,969.00","173,305.00","145,243.00","125,842.00","86,201.00","82,407.75","82,407.75"
"8","Inventories","20,221.00","32,736.00","43,676.00","42,471.00","57,210.00","38,775.00","52,592.00","45,483.00","44,493.50","44,493.50"
"9","Net Property, Plant & Equipment","51,552.00","146,585.00","140,557.00","121,596.00","135,230.00","172,798.00","177,575.00","168,114.00","167,484.25","167,484.25"
"10","Short Term Debt","24,730.00","16,865.00","32,297.00","49,489.00","76,357.00","51,772.00","55,280.00","39,520.00","32,501.50","32,501.50"
"11","Long Term Debt","75,704.00","134,730.00","102,062.00","75,605.00","80,532.00","90,402.00","81,350.00","59,352.00","58,146.75","58,146.75"
"12","Net Operating Cash Flow","(41,916.00)","63,959.00","111,517.00","74,836.00","73,940.00","110,601.00","66,839.00","129,632.00","107,571.00","107,571.00"
"13","Capital Expenditures","(42,849.00)","(111,625.00)","(28,014.00)","(9,947.00)","(41,467.00)","(49,029.00)","(24,083.00)","(10,992.00)","(7,779.00)","(7,779.00)"
"14","Total Shares Outstanding (million)","1,349,993.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,321,587.50","2,635,916.00","1,350,000.00"
