"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020"
"2","Sales/Revenue","1,803,233.00","2,172,624.00","2,260,947.00","2,058,480.00","2,138,898.00","2,190,629.00","2,282,115.00","2,502,966.00","2,750,382.00","2,313,482.00"
"3","Pretax Income","256,546.00","212,905.00","223,927.00","237,677.00","300,500.00","343,144.00","192,309.00","464,407.00","500,774.00","322,771.00"
"4","Net Income","219,379.00","132,004.00","147,591.00","167,502.00","173,232.00","247,223.00","103,087.00","334,603.00","327,085.00","169,318.00"
"5","Cash & Short-Term Investments","376,155.00","215,617.00","354,347.00","196,410.00","307,043.00","399,503.00","537,483.00","831,340.00","1,039,941.00","1,211,109.00"
"6","Cash Only","89,469.00","67,375.00","64,840.00","66,083.00","83,023.00","62,375.00","55,664.00","53,181.00","62,173.00","-"
"7","Total Accounts Receivables","424,541.00","444,078.00","435,568.00","407,801.00","390,222.00","411,043.00","383,598.00","376,279.00","360,509.00","252,651.00"
"8","Inventories","196,082.00","220,747.00","206,558.00","180,442.00","209,131.00","205,600.00","226,984.00","210,344.00","223,203.00","212,600.00"
"9","Net Property, Plant & Equipment","451,009.00","405,514.00","416,300.00","382,158.00","381,079.00","375,029.00","351,930.00","322,108.00","296,017.00","298,984.00"
"10","Short Term Debt","344,846.00","144,731.00","137,430.00","572,742.00","137,609.00","127,965.00","113,129.00","70,630.00","38,730.00","20,403.00"
"11","Long Term Debt","120,000.00","418,663.00","697,663.00","50,000.00","-","-","-","-","-","10,529.00"
"12","Net Operating Cash Flow","429,081.00","169,939.00","222,779.00","193,206.00","234,196.00","331,610.00","378,221.00","478,494.00","503,287.00","423,065.00"
"13","Capital Expenditures","(299,493.00)","(34,187.00)","(68,117.00)","(50,809.00)","(56,294.00)","(55,448.00)","(58,437.00)","(37,859.00)","(38,326.00)","(57,164.00)"
"14","Total Shares Outstanding (million)","320,443.00","319,473.00","319,472.50","319,472.50","319,472.50","319,472.81","319,472.81","319,473.00","319,473.00","319,473.00"
