"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2"
"2","Sales/Revenue","24,233.00","25,652.00","22,744.00","28,743.51","19,620.00","16,963.00"
"3","Pretax Income","2,821.00","3,855.00","2,714.00","4,058.77","1,869.00","694.00"
"4","Net Income","1,935.00","2,955.00","1,658.00","2,871.93","1,282.00","468.00"
"5","Cash & Short-Term Investments","4,001.00","6,048.00","33,306.00","40,235.00","18,950.00","12,577.00"
"6","Cash Only","3,262.00","5,309.00","24,522.00","14,473.00","14,450.00","10,732.00"
"7","Total Accounts Receivables","8,068.00","9,053.00","6,532.00","3,285.00","22,336.00","23,826.00"
"8","Inventories","37,023.00","38,283.00","40,366.00","34,614.00","39,538.00","38,253.00"
"9","Net Property, Plant & Equipment","25,332.00","26,473.00","29,411.00","29,562.00","27,516.00","28,775.00"
"10","Short Term Debt","6,267.00","5,995.00","6,368.00","7,083.00","7,422.00","7,565.00"
"11","Long Term Debt","16,020.00","17,282.00","19,008.00","18,581.00","16,877.00","17,016.00"
"12","Net Operating Cash Flow","(960.00)","4,930.00","656.00","10,892.00","(2,249.00)","1,153.00"
"13","Capital Expenditures","(177.00)","(1,021.00)","(1,758.00)","(234.00)","(435.00)","(1,657.00)"
"14","Total Shares Outstanding (million)","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00"
