"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","25,652.00","22,744.00","28,743.51","19,620.00","16,963.00","24,186.00","19,641.56","21,063.00","17,116.00","14,871.00"
"3","Pretax Income","3,855.00","2,714.00","4,058.77","1,869.00","694.00","3,458.00","1,391.73","2,277.00","185.00","602.00"
"4","Net Income","2,955.00","1,658.00","2,871.93","1,282.00","468.00","2,647.00","950.55","1,755.00","92.00","438.00"
"5","Cash & Short-Term Investments","6,048.00","33,306.00","40,235.00","18,950.00","12,577.00","14,219.00","16,306.00","33,040.00","26,811.00","25,364.00"
"6","Cash Only","5,309.00","24,522.00","14,473.00","14,450.00","10,732.00","12,374.00","14,461.00","13,739.00","7,418.00","11,106.00"
"7","Total Accounts Receivables","9,053.00","6,532.00","3,285.00","22,336.00","23,826.00","23,604.00","21,548.00","4,840.00","4,937.00","6,166.00"
"8","Inventories","38,283.00","40,366.00","34,614.00","39,538.00","38,253.00","39,709.00","39,109.00","42,429.00","45,593.00","51,596.00"
"9","Net Property, Plant & Equipment","26,473.00","29,411.00","29,562.00","27,516.00","28,775.00","26,119.00","29,542.00","27,277.00","25,764.00","22,123.00"
"10","Short Term Debt","5,995.00","6,368.00","7,083.00","7,422.00","7,565.00","7,087.00","7,804.00","7,191.00","6,853.00","6,017.00"
"11","Long Term Debt","17,282.00","19,008.00","18,581.00","16,877.00","17,016.00","15,084.00","16,344.00","15,192.00","14,630.00","12,034.00"
"12","Net Operating Cash Flow","4,930.00","656.00","10,892.00","(2,249.00)","1,153.00","4,186.00","6,378.00","1,751.00","(223.00)","957.00"
"13","Capital Expenditures","(1,021.00)","(1,758.00)","(234.00)","(435.00)","(1,657.00)","(243.00)","(2,208.00)","(302.00)","(216.00)","(382.00)"
"14","Total Shares Outstanding (million)","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00"
