"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","343,393.99","373,699.38","376,545.95","325,339.17","296,350.89","300,184.69","311,106.55","403,432.11","205,235.23","218,643.27"
"3","Pretax Income","10,152.41","11,609.87","25,912.57","4,374.16","16,541.68","20,306.47","26,466.83","15,235.29","10,140.27","15,744.99"
"4","Net Income","6,604.26","8,906.72","22,030.83","417.70","10,133.85","14,897.93","20,889.38","13,172.26","(52,085.13)","26,510.21"
"5","Cash & Short-Term Investments","40,901.63","36,354.08","23,961.65","21,972.09","43,660.63","21,156.96","11,811.35","30,162.11","23,905.28","56,151.49"
"6","Cash Only","33,790.54","34,457.51","23,961.65","21,972.09","43,526.91","21,156.96","11,804.17","28,696.26","23,865.78","56,130.25"
"7","Total Accounts Receivables","49,213.68","57,055.10","56,382.45","45,757.47","47,638.92","64,966.01","70,617.81","79,280.98","46,728.08","37,222.20"
"8","Inventories","66,632.54","77,655.69","93,886.53","85,027.62","63,091.03","73,336.96","84,121.36","88,900.44","56,266.16","42,957.73"
"9","Net Property, Plant & Equipment","144,445.55","142,650.62","129,414.97","132,246.90","141,298.36","202,177.81","203,977.02","192,560.23","86,844.49","126,613.63"
"10","Short Term Debt","111,088.25","89,551.01","69,323.87","48,105.86","50,108.47","42,210.15","47,855.95","39,454.70","30,992.07","11,493.01"
"11","Long Term Debt","11,098.04","28,763.95","25,136.05","16,000.00","18,195.00","40,037.47","36,215.00","25,364.38","13,413.13","1,429.60"
"12","Net Operating Cash Flow","38,325.99","21,473.94","32,197.73","44,682.96","49,089.86","25,417.33","25,427.16","43,821.61","44,022.21","39,215.19"
"13","Capital Expenditures","(14,832.64)","(6,049.09)","(6,964.71)","(4,762.30)","(24,859.34)","(52,735.96)","(24,910.57)","(16,959.88)","(18,895.07)","(31,190.05)"
"14","Total Shares Outstanding (million)","202,066.00","201,442.00","227,339.00","227,318.62","227,296.62","229,278.82","229,268.82","252,195.62","252,195.62","252,195.62"
