"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","","",""
"2","Sales/Revenue","64,394.43","77,578.16","74,123.31","90,180.03","106,765.70","113,515.49","115,870.49","","",""
"3","Pretax Income","4,276.90","13,307.76","19,251.34","25,267.78","30,482.20","32,793.16","35,877.16","","",""
"4","Net Income","7,173.56","13,437.14","19,082.40","21,566.63","28,831.19","35,840.14","35,842.14","","",""
"5","Cash & Short-Term Investments","13,456.93","19,811.60","12,337.86","33,162.38","25,849.77","24,125.39","32,421.00","","",""
"6","Cash Only","13,456.93","19,811.60","12,337.86","33,162.38","25,849.77","24,125.39","32,421.00","","",""
"7","Total Accounts Receivables","3,443.77","4,777.60","11,935.23","23,882.42","24,514.98","41,118.14","39,984.00","","",""
"8","Inventories","547.52","1,143.02","1,064.46","894.91","1,059.78","1,005.26","940.00","","",""
"9","Net Property, Plant & Equipment","173,639.52","210,265.42","225,992.76","248,467.22","325,360.90","424,339.14","447,293.00","","",""
"10","Short Term Debt","16,074.13","5,961.75","21,940.17","31,125.36","43,142.83","45,912.26","35,484.00","","",""
"11","Long Term Debt","81,384.42","111,320.06","98,438.20","89,318.14","126,642.77","161,392.93","174,098.00","","",""
"12","Net Operating Cash Flow","10,070.31","21,485.62","30,054.57","23,243.10","40,719.56","27,211.16","41,567.16","","",""
"13","Capital Expenditures","(41,852.20)","(13,805.98)","(28,659.42)","(49,785.19)","(79,994.72)","(81,353.34)","(69,589.34)","","",""
"14","Total Shares Outstanding (million)","500,472.00","500,472.00","707,472.00","1,257,244.06","1,257,399.30","1,422,780.35","1,422,780.35","1,257,244.06","893,709.38","893,709.38"
