"1","Financial Year","31-07-2013","31-07-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-09-2020       TTM","",""
"2","Sales/Revenue","-","-","-","14,994.00","157,115.00","220,284.00","170,812.00","94,862.00","",""
"3","Pretax Income","(2,168.96)","(28,296.59)","(21,901.15)","126,269.00","(121,705.00)","(38,707.00)","(193,102.00)","(306,512.00)","",""
"4","Net Income","(2,168.96)","(28,377.41)","(32,152.59)","125,526.00","(87,836.00)","(41,727.00)","(128,403.00)","(145,790.00)","",""
"5","Cash & Short-Term Investments","6,749.59","23,177.53","778,358.25","105,725.00","27,519.00","49,007.00","35,958.00","15,972.50","",""
"6","Cash Only","3,749.59","1,744.32","22.02","63,671.00","1,654.00","31,172.00","26,686.00","-","",""
"7","Total Accounts Receivables","-","0.11","0.11","9,119.00","15,378.00","16,694.00","3,533.00","4,338.75","",""
"8","Inventories","-","-","-","7,398.00","7,382.00","3,073.00","3,553.00","2,481.25","",""
"9","Net Property, Plant & Equipment","205.93","132.07","304.65","1,806,504.00","1,569,791.00","1,577,947.00","1,431,797.00","1,416,590.50","",""
"10","Accrued Payable","1,030.58","23,937.29","1,996.26","98,143.00","22,239.00","17,822.00","18,025.00","17,206.00","",""
"11","Short Term Debt","3,000.00","-","-","-","-","-","912.00","620.50","",""
"12","Long Term Debt","-","-","-","-","-","-","4,859.00","3,213.25","",""
"13","Net Operating Cash Flow","(1,125.53)","(4,601.47)","(11,806.21)","17,820.00","(70,726.00)","58,237.00","51,943.00","(38,384.00)","",""
"14","Capital Expenditures","(236.88)","(28.60)","(668.34)","(16.00)","(11,173.00)","(35,014.00)","(36,814.00)","(21,023.00)","",""
"15","Total Shares Outstanding (million)","113,600.20","277,822.43","1,277,822.43","1,096,412.00","1,096,412.00","1,096,412.00","1,096,412.00","1,096,412.00","1,096,412.00","698,206.00"
