"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","142,958.00","139,150.00","148,443.00","136,970.00","127,046.00","148,683.00","170,685.00","215,791.00","228,272.00","213,521.00"
"3","Pretax Income","3,766.00","7,115.00","6,553.00","3,331.00","3,268.00","8,635.00","9,208.00","11,139.00","13,514.00","14,362.00"
"4","Net Income","1,071.00","4,785.00","4,122.00","2,026.00","1,112.00","5,753.00","6,648.00","6,050.00","8,584.00","10,285.00"
"5","Cash & Short-Term Investments","45,884.00","43,308.00","38,376.00","38,523.00","58,611.00","66,704.00","54,302.00","48,001.00","56,466.00","65,288.00"
"6","Cash Only","36,710.00","36,789.00","31,825.00","37,532.00","57,776.00","59,359.00","53,467.00","47,166.00","54,827.00","63,649.00"
"7","Total Accounts Receivables","154,237.00","156,991.00","162,674.00","157,802.00","146,637.00","140,702.00","158,910.00","181,047.00","203,030.00","216,444.00"
"8","Inventories","1,077.00","1,505.00","1,574.00","1,762.00","1,617.00","1,499.00","1,162.00","712.00","84.00","87.00"
"9","Net Property, Plant & Equipment","248,099.00","259,704.00","270,175.00","266,068.00","266,222.00","267,991.00","275,370.00","276,389.00","306,587.00","308,630.00"
"10","Accrued Payable","63,636.00","64,117.00","69,683.00","60,630.00","65,557.00","68,847.00","70,932.00","73,061.00","95,039.00","99,106.00"
"11","Short Term Debt","14,859.00","20,996.00","22,825.00","28,389.00","19,786.00","23,429.00","28,748.00","40,340.00","39,635.00","55,406.00"
"12","Long Term Debt","56,332.00","59,600.00","64,738.00","61,440.00","68,484.00","63,566.00","63,009.00","61,822.00","61,167.00","61,694.00"
"13","Net Operating Cash Flow","26,031.00","9,246.00","10,582.00","1,527.00","26,899.00","22,136.00","(6,953.00)","(6,078.00)","12,038.00","2,665.00"
"14","Capital Expenditures","(216.00)","(1,148.00)","(10,725.00)","6,979.00","(1,768.00)","(6,680.00)","(1,722.00)","(1,923.00)","(1,180.00)","(834.00)"
"15","Total Shares Outstanding (million)","279,222.00","279,222.00","279,222.00","279,222.00","279,222.00","279,222.00","279,222.00","279,222.00","558,444.83","558,445.00"
