"1","Financial Year","31-12-2018       1","31-03-2019       2","30-06-2019       3","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","116,233.00","121,738.00","119,133.00","119,142.00","117,332.00","121,741.00","124,336.00","136,096.00","148,290.00","171,464.00"
"3","Pretax Income","59,136.00","62,026.00","56,999.00","60,442.00","68,336.00","58,822.00","64,017.00","70,830.00","75,289.00","77,087.00"
"4","Net Income","58,656.00","58,028.00","58,199.00","60,426.00","67,781.00","58,842.00","63,058.00","70,743.00","76,013.00","76,285.00"
"5","Cash & Short-Term Investments","108,793.00","144,787.00","177,140.00","194,202.00","76,231.00","164,935.00","249,831.00","274,846.00","234,613.00","359,236.00"
"6","Cash Only","108,793.00","144,787.00","177,140.00","194,202.00","76,231.00","164,935.00","249,831.00","274,846.00","234,613.00","359,236.00"
"7","Total Accounts Receivables","232,902.00","256,048.00","258,914.00","275,513.00","246,290.00","340,230.00","276,722.00","239,470.00","297,439.00","320,731.00"
"8","Inventories","2,430.00","1,997.00","2,568.00","2,121.00","3,245.00","2,651.00","7,628.00","7,168.00","6,054.00","2,665.00"
"9","Net Property, Plant & Equipment","299,168.00","307,045.00","300,989.00","296,396.00","310,272.00","306,886.00","314,838.00","309,400.00","418,724.00","332,606.00"
"10","Accrued Payable","26,140.00","28,046.00","22,179.00","27,254.00","30,876.00","-","-","-","-","-"
"11","Short Term Debt","32,557.00","27,957.00","28,209.00","31,440.00","48,119.00","48,945.00","48,061.00","46,811.00","47,655.00","47,439.00"
"12","Long Term Debt","90,287.00","116,090.00","111,659.00","112,388.00","134,327.00","131,089.00","128,974.00","127,883.00","122,862.00","116,468.00"
"13","Net Operating Cash Flow","78,201.00","48,454.00","136,995.00","136,374.00","(113,952.00)","106,737.00","168,461.00","120,356.00","(88,351.00)","178,849.00"
"14","Capital Expenditures","(21,252.00)","(13,636.00)","(14,689.00)","(3,011.00)","(15,272.00)","(1,081.00)","(75,559.00)","(1,318.00)","(117,123.00)","(31,509.00)"
"15","Total Shares Outstanding (million)","3,499,653.69","3,484,338.09","3,484,338.09","3,484,338.09","3,466,140.89","3,458,140.90","3,454,201.60","3,467,122.80","3,618,265.04","3,612,764.30"
