"1","Financial Year","31-07-2009","31-07-2010","31-07-2011","31-07-2012","31-07-2013","31-07-2014","31-07-2015","31-07-2016","31-07-2017","31-07-2018"
"2","Sales/Revenue","724,836.00","800,170.00","1,026,818.00","1,201,992.00","1,163,911.00","1,715,082.00","1,936,885.00","2,175,626.00","3,281,350.00","4,089,191.00"
"3","Pretax Income","13,021.00","36,819.00","51,363.00","48,791.00","49,447.00","41,993.00","159,686.00","141,866.00","223,673.00","176,367.00"
"4","Net Income","5,224.00","24,290.00","27,721.00","38,615.00","43,910.00","53,633.00","132,739.00","117,928.00","156,319.00","150,766.00"
"5","Cash & Short-Term Investments","54,697.00","67,364.00","71,853.00","58,680.00","97,288.00","123,464.00","243,742.00","218,401.00","344,919.00","415,636.00"
"6","Cash Only","43,697.00","49,119.00","52,864.00","38,142.00","75,872.00","98,217.00","144,387.00","205,954.00","299,060.00","307,471.00"
"7","Total Accounts Receivables","126,864.00","183,235.00","188,681.00","299,323.00","372,806.00","423,857.00","477,510.00","543,899.00","920,121.00","853,885.00"
"8","Inventories","65,066.00","77,380.00","87,227.00","104,577.00","177,760.00","269,794.00","272,755.00","306,603.00","479,814.00","539,873.00"
"9","Net Property, Plant & Equipment","312,445.00","295,347.00","264,552.00","274,520.00","618,766.00","600,811.00","664,349.00","680,719.00","841,043.00","873,170.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","140,098.00","134,219.00","105,320.00","103,416.00","211,167.00","269,765.00","289,193.00","322,570.00","587,832.00","551,690.00"
"12","Long Term Debt","37,552.00","35,825.00","29,509.00","34,592.00","150,590.00","140,026.00","123,015.00","92,473.00","119,049.00","93,758.00"
"13","Net Operating Cash Flow","55,340.00","49,046.00","94,277.00","34,111.00","19,666.00","46,368.00","56,452.00","135,823.00","76,899.00","216,989.00"
"14","Capital Expenditures","(28,161.00)","(18,537.00)","(39,641.00)","(40,360.00)","(31,394.00)","(55,704.00)","(64,302.00)","(68,914.00)","(148,511.00)","(206,500.00)"
"15","Total Shares Outstanding (million)","896,654.00","896,454.00","907,868.00","906,112.00","1,132,546.06","1,157,657.31","1,435,614.19","1,462,408.31","1,497,399.88","1,691,234.32"
