"1","Financial Year","31-07-2017       4","31-10-2017       1","31-01-2018       2","30-04-2018       3","31-07-2018       4","31-10-2018       1","31-01-2019       2","30-04-2019       3","31-07-2019       4","31-10-2019       1"
"2","Sales/Revenue","983,386.00","1,085,147.00","1,113,297.00","879,811.00","1,010,936.00","1,075,617.00","982,647.00","889,710.00","1,030,376.00","1,034,596.00"
"3","Pretax Income","47,822.00","54,406.00","68,515.00","28,398.00","25,048.00","45,318.00","49,409.00","38,237.00","48,892.00","63,669.00"
"4","Net Income","36,806.00","45,991.00","45,279.00","21,055.00","38,441.00","39,810.00","37,943.00","31,378.00","56,263.00","48,073.00"
"5","Cash & Short-Term Investments","344,919.00","370,020.00","409,770.00","394,725.00","415,636.00","361,804.00","377,429.00","404,863.00","379,457.00","389,244.00"
"6","Total Accounts Receivables","999,132.00","1,012,020.00","1,038,700.00","980,622.00","941,037.00","1,214,882.00","1,087,084.00","1,044,269.00","1,156,966.00","1,249,106.00"
"7","Inventories","479,814.00","445,446.00","450,248.00","485,146.00","539,873.00","444,126.00","451,408.00","348,774.00","371,543.00","327,987.00"
"8","Net Property, Plant & Equipment","839,006.00","824,401.00","842,678.00","882,947.00","873,170.00","923,025.00","937,101.00","927,631.00","888,990.00","857,372.00"
"9","Accrued Payable","820,655.00","804,575.00","774,056.00","723,417.00","729,783.00","795,662.00","634,827.00","572,349.00","721,333.00","668,409.00"
"10","Short Term Debt","-","539,467.00","541,598.00","587,755.00","551,690.00","546,494.00","513,590.00","462,690.00","361,537.00","-"
"11","Long Term Debt","119,049.00","104,684.00","103,607.00","92,473.00","93,758.00","86,702.00","76,937.00","67,584.00","66,904.00","35,675.00"
"12","Net Operating Cash Flow","(14,373.00)","69,432.00","61,121.00","3,845.00","82,591.00","(56,970.00)","47,611.00","117,384.00","117,644.00","(10,205.00)"
"13","Capital Expenditures","(35,300.00)","(46,177.00)","(84,897.00)","(7,775.00)","(67,651.00)","(44,249.00)","(64,031.00)","6,299.00","(23,131.00)","(33,983.00)"
"14","Total Shares Outstanding (million)","1,839,628.00","1,545,516.84","1,631,811.15","1,659,526.05","1,691,234.32","1,746,701.31","1,810,517.43","1,811,839.13","1,826,812.00","-"
