"1","Financial Year","31-03-2018       Other","30-06-2018       Other","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4"
"2","Sales/Revenue","20,962.00","13,352.00","13,699.00","19,511.00","6,375.00","(27,331.00)","9,752.00","7,599.00","3,137.00","4,737.00"
"3","Pretax Income","1,760.00","(108,786.00)","(14,964.00)","758.00","(3,488.00)","(31,388.00)","(5,411.00)","(841.00)","(7,592.00)","(14,671.00)"
"4","Net Income","463.00","(110,178.00)","(15,786.00)","(173.00)","(5,389.00)","(22,357.00)","(5,638.00)","262.00","(8,574.00)","(19,957.00)"
"5","Cash & Short-Term Investments","5,922.00","1,208.00","1,130.00","1,734.00","976.00","542.00","583.00","222.00","982.00","719.00"
"6","Cash Only","5,922.00","1,208.00","1,130.00","1,734.00","976.00","542.00","583.00","222.00","982.00","719.00"
"7","Total Accounts Receivables","53,616.00","61,450.00","52,227.00","56,363.00","54,309.00","50,902.00","51,218.00","53,025.00","57,598.00","67,312.00"
"8","Inventories","116,336.00","121,929.00","117,832.00","119,553.00","120,249.00","117,265.00","121,987.00","118,868.00","119,409.00","121,614.00"
"9","Net Property, Plant & Equipment","297,465.00","210,711.00","205,187.00","202,655.00","201,968.00","222,788.00","212,384.00","207,869.00","211,736.00","207,134.00"
"10","Short Term Debt","211,372.00","224,187.00","268,215.00","266,670.00","257,387.00","261,498.00","274,883.00","270,855.00","278,207.00","286,393.00"
"11","Long Term Debt","26,035.00","21,380.00","18,350.00","5,954.00","12,240.00","13,202.00","5,604.00","633.00","7,398.00","7,887.00"
"12","Net Operating Cash Flow","4,999.00","(38,067.00)","3,378.00","9,984.00","(1,137.00)","1,005.00","625.00","(6,790.00)","(1,980.00)","(2,439.00)"
"13","Capital Expenditures","(1,133.00)","(155.00)","(171.00)","(4.00)","(631.00)","390.00","(21.00)","-","-","(10.00)"
"14","Total Shares Outstanding (million)","284,952.89","284,952.89","284,952.89","284,952.89","284,952.89","284,952.89","284,952.89","284,952.89","313,448.17","313,448.17"
