"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","31-12-2020       TTM","31-12-2020       TTM"
"2","Sales/Revenue","88,873.00","83,084.00","86,891.64","97,966.68","116,203.98","127,667.61","120,566.78","91,476.00","38,941.53","38,941.53"
"3","Pretax Income","26,956.00","20,061.00","18,919.75","17,778.13","7,863.88","10,111.75","(14,284.81)","(34,766.00)","(56,927.02)","(56,927.02)"
"4","Net Income","20,091.00","14,493.00","14,043.82","12,571.63","5,422.75","6,964.13","(2,536.40)","(34,931.00)","(57,131.02)","(57,131.02)"
"5","Cash & Short-Term Investments","5,131.00","16,829.00","20,966.25","14,526.92","6,821.27","33,974.32","38,283.38","43,349.00","42,766.00","42,766.00"
"6","Cash Only","5,131.00","16,829.00","20,966.25","14,526.92","6,821.27","11,006.82","9,456.18","11,370.00","10,604.50","10,604.50"
"7","Total Accounts Receivables","1,432.00","2,922.00","6,964.10","8,737.98","17,206.04","11,619.22","9,876.19","16,933.00","17,440.00","17,440.00"
"8","Inventories","1,532.00","1,318.00","1,695.83","2,916.83","3,498.76","2,559.45","2,721.29","2,188.00","2,166.75","2,166.75"
"9","Net Property, Plant & Equipment","63,440.00","77,197.00","125,665.30","198,711.61","173,730.98","224,732.24","208,975.10","247,033.00","299,439.00","299,439.00"
"10","Short Term Debt","1,349.00","1,690.00","2,069.35","9,943.82","26,352.57","30,424.73","34,500.65","41,249.00","43,858.00","43,858.00"
"11","Long Term Debt","24,170.00","25,083.00","24,855.80","46,789.82","66,298.27","90,518.64","71,827.14","121,445.00","116,007.00","116,007.00"
"12","Net Operating Cash Flow","19,763.00","12,677.00","15,689.16","28,411.23","34,953.99","26,611.81","17,999.25","32,373.00","17,258.00","17,258.00"
"13","Capital Expenditures","(5,969.00)","(19,202.00)","(54,332.15)","(75,414.79)","(63,089.09)","(66,698.34)","(7,192.91)","(82,364.00)","(81,099.00)","(81,099.00)"
"14","Total Shares Outstanding (million)","154,309.94","154,309.32","222,000.89","233,999.99","242,884.99","267,100.00","285,100.00","285,100.00","399,139.97","267,100.00"
