"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-03-2015","31-03-2016","31-03-2017","31-03-2018","31-03-2019"
"2","Sales/Revenue","33,859.60","39,665.04","43,730.39","46,068.37","46,633.75","68,088.67","53,039.00","37,348.75","19,630.34","52,948.00"
"3","Pretax Income","(36,290.53)","(4,881.29)","623.63","(2,950.10)","5,065.46","75,610.17","1,063.29","3,110.13","(586.66)","(1,963.00)"
"4","Net Income","(35,829.43)","(4,812.31)","623.19","(2,951.04)","4,968.95","74,851.85","275.04","1,616.24","(827.37)","(3,006.00)"
"5","Cash & Short-Term Investments","5,493.12","40,983.60","39,851.90","39,585.33","45,719.27","178,545.80","169,399.21","149,442.25","103,329.46","121,192.00"
"6","Cash Only","1,263.84","2,485.22","5,343.56","4,421.72","9,957.65","5,658.41","169,399.21","149,442.25","34,380.80","11,486.00"
"7","Total Accounts Receivables","28,399.64","11,250.73","13,446.88","13,846.62","12,869.35","17,136.92","21,611.62","9,347.15","8,361.56","21,791.00"
"8","Inventories","9,897.57","9,054.47","10,834.68","9,177.46","9,983.41","9,881.07","13,958.85","9,800.83","106,184.88","111,889.00"
"9","Net Property, Plant & Equipment","136,230.49","131,414.22","130,140.56","127,851.43","126,609.45","10,802.77","2,113.79","879.88","839.77","1,359.00"
"10","Accrued Payable","6,052.50","-","4,981.30","3,746.15","3,292.29","2,277.08","5,464.56","3,343.99","131,077.94","16,758.00"
"11","Short Term Debt","36,352.43","942.61","-","-","-","-","-","-","-","-"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","47,217.00"
"13","Net Operating Cash Flow","(6,957.40)","(222.18)","508.09","1,668.96","7,380.86","(10,881.08)","5,937.86","14,324.25","(12,668.67)","(91,764.00)"
"14","Capital Expenditures","(1,408.75)","(2,197.62)","(1,805.96)","(1,937.69)","(1,379.29)","(2,027.11)","(463.14)","(167.86)","(360.84)","(941.00)"
"15","Total Shares Outstanding (million)","110,956.00","185,757.00","185,757.00","185,757.00","185,757.03","185,912.63","186,602.83","186,602.83","186,652.83","186,652.83"
