"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-06-2020       TTM"
"2","Sales/Revenue","40,540.60","44,373.96","60,747.29","63,680.04","68,976.88","52,571.88"
"3","Pretax Income","2,367.59","7,160.86","11,499.88","12,202.50","4,227.83","4,072.83"
"4","Net Income","2,176.22","5,280.26","8,537.76","9,306.54","2,264.96","2,670.96"
"5","Cash & Short-Term Investments","1,033.76","2,169.53","5,333.05","3,930.90","22,322.94","18,993.00"
"6","Cash Only","1,033.76","2,169.53","5,333.05","3,930.90","22,322.94","18,993.00"
"7","Total Accounts Receivables","13,163.04","20,874.88","20,246.88","25,613.93","21,116.14","19,446.00"
"8","Inventories","1,980.50","2,596.00","9,034.99","9,706.62","10,493.71","12,618.50"
"9","Net Property, Plant & Equipment","15,972.22","19,175.29","29,419.79","23,135.62","30,623.61","30,486.50"
"10","Short Term Debt","756.93","1,773.06","2,287.11","1,936.63","1,644.96","1,803.50"
"11","Long Term Debt","4,655.96","10,397.60","16,462.78","15,686.26","9,067.13","9,228.75"
"12","Net Operating Cash Flow","4,481.28","(1,403.14)","10,213.16","3,966.26","3,880.70","(1,129.00)"
"13","Capital Expenditures","(7,144.10)","(2,909.20)","(11,107.50)","(1,785.28)","(7,893.35)","(3,027.00)"
"14","Total Shares Outstanding (million)","632,000.00","632,000.00","632,000.00","632,000.00","790,000.00","790,000.00"
