"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","40,540.60","44,373.96","60,747.29","63,680.04"
"3","Pretax Income","2,367.59","7,160.86","11,499.88","12,202.50"
"4","Net Income","2,176.22","5,280.26","8,537.76","9,306.54"
"5","Cash & Short-Term Investments","1,033.76","2,169.53","5,333.05","3,930.90"
"6","Cash Only","1,033.76","2,169.53","5,333.05","3,930.90"
"7","Total Accounts Receivables","13,163.04","20,874.88","20,246.88","25,613.93"
"8","Inventories","1,980.50","2,596.00","9,034.99","9,706.62"
"9","Net Property, Plant & Equipment","15,972.22","19,175.29","29,419.79","23,135.62"
"10","Short Term Debt","756.93","1,773.06","2,287.11","1,936.63"
"11","Long Term Debt","4,655.96","10,397.60","16,462.78","15,686.26"
"12","Net Operating Cash Flow","4,481.28","(1,403.14)","10,213.16","3,966.26"
"13","Capital Expenditures","(7,144.10)","(2,909.20)","(11,107.50)","(1,785.28)"
"14","Total Shares Outstanding (million)","632,000.00","632,000.00","632,000.00","632,000.00"
