"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","14,287.20","13,971.00","12,824.00","12,264.00","14,209.00","15,608.00","14,583.07","14,648.00","13,552.00","16,414.00"
"3","Pretax Income","141.95","(163.00)","(641.00)","(1,019.00)","(430.00)","(1,036.00)","(855.30)","(384.00)","(57.00)","351.00"
"4","Net Income","86.25","(163.00)","(523.00)","(947.00)","(410.00)","(903.00)","(798.51)","(193.00)","(28.00)","227.00"
"5","Cash & Short-Term Investments","4,379.32","4,187.00","3,327.00","3,317.00","1,805.00","3,295.00","3,805.00","3,783.00","4,304.00","5,244.00"
"6","Cash Only","4,379.32","4,187.00","3,327.00","3,317.00","1,805.00","3,295.00","3,805.00","3,783.00","4,304.00","5,244.00"
"7","Total Accounts Receivables","9,406.11","8,593.00","7,976.00","7,797.00","8,039.00","9,584.00","8,116.00","7,328.00","7,169.00","7,323.00"
"8","Inventories","12,927.81","14,318.00","15,234.00","12,468.00","14,478.00","11,832.00","11,057.00","11,490.00","10,955.00","10,519.00"
"9","Net Property, Plant & Equipment","1,375.44","1,552.00","1,395.00","2,820.00","5,156.00","4,537.00","7,617.00","5,863.00","8,728.00","8,002.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","3,172.00"
"11","Short Term Debt","40.65","127.00","178.00","204.00","1,453.00","1,133.00","1,436.00","1,281.00","1,482.00","1,473.00"
"12","Long Term Debt","112.04","241.00","129.00","105.00","503.00","434.00","3,573.00","2,637.00","4,591.00","3,982.00"
"13","Net Operating Cash Flow","972.68","(207.00)","(829.00)","692.00","(1,771.00)","1,558.00","1,018.00","418.00","1,780.00","1,472.00"
"14","Capital Expenditures","(2.95)","(8.00)","(19.00)","(1,602.00)","(5.00)","(56.00)","(674.00)","(122.00)","(876.00)","(159.00)"
"15","Total Shares Outstanding (million)","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00","48,500.00"
