"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019       TTM","","",""
"2","Sales/Revenue","78,693.18","71,381.31","85,505.27","85,583.56","81,805.00","","",""
"3","Pretax Income","5,310.75","6,221.96","7,999.64","4,807.21","3,377.00","","",""
"4","Net Income","3,259.13","4,667.63","5,997.06","3,662.83","2,497.00","","",""
"5","Cash & Short-Term Investments","4,563.48","2,605.12","3,256.29","20,838.93","19,709.75","","",""
"6","Cash Only","1,463.81","584.91","1,181.87","972.88","1,623.75","","",""
"7","Total Accounts Receivables","14,900.93","14,580.43","17,869.58","15,157.47","15,429.25","","",""
"8","Inventories","-","119.87","74.96","109.79","98.75","","",""
"9","Net Property, Plant & Equipment","38,835.44","55,178.67","58,693.30","67,966.85","70,228.50","","",""
"10","Short Term Debt","4,512.92","6,521.38","9,863.17","4,183.33","4,727.25","","",""
"11","Long Term Debt","9,541.01","14,183.70","14,447.84","18,614.65","19,757.25","","",""
"12","Net Operating Cash Flow","8,427.96","9,485.92","3,036.14","5,218.13","3,533.00","","",""
"13","Capital Expenditures","(1,719.19)","(13,751.85)","(1,709.37)","(2,456.66)","(8,152.00)","","",""
"14","Total Shares Outstanding (million)","8,260.00","122,793.00","122,793.00","166,000.00","166,000.00","122,793.00","460,000.00","460,000.00"
