"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-09-2021       TTM","","",""
"2","Sales/Revenue","78,693.18","71,381.31","85,505.27","85,583.56","81,804.98","83,432.19","114,735.19","","",""
"3","Pretax Income","5,310.75","6,221.96","7,999.64","4,807.21","3,432.68","7,457.55","7,193.55","","",""
"4","Net Income","3,259.13","4,667.63","5,997.06","3,662.83","2,555.69","5,537.97","5,291.97","","",""
"5","Cash & Short-Term Investments","4,563.48","2,605.12","3,256.29","20,838.93","19,459.44","4,100.10","4,732.75","","",""
"6","Cash Only","1,463.81","584.91","1,181.87","972.88","1,472.70","1,357.24","1,916.75","","",""
"7","Total Accounts Receivables","14,900.93","14,580.43","17,869.58","15,157.47","16,303.28","17,469.89","22,369.50","","",""
"8","Inventories","-","119.87","74.96","109.79","71.22","131.85","181.00","","",""
"9","Net Property, Plant & Equipment","38,835.44","55,178.67","58,693.30","67,966.85","72,948.05","96,562.56","97,545.50","","",""
"10","Short Term Debt","4,512.92","6,521.38","9,863.17","4,183.33","5,429.73","4,631.66","4,970.00","","",""
"11","Long Term Debt","9,541.01","14,183.70","14,447.84","18,614.65","20,251.84","25,535.55","28,548.25","","",""
"12","Net Operating Cash Flow","8,427.96","9,485.92","3,036.14","5,218.13","2,798.22","8,974.63","1,844.00","","",""
"13","Capital Expenditures","(1,719.19)","(13,751.85)","(1,709.37)","(2,456.66)","(2,355.19)","(20,057.84)","(20,228.00)","","",""
"14","Total Shares Outstanding (million)","8,260.00","122,793.00","122,793.00","166,000.00","166,000.00","166,000.00","166,000.00","166,000.00","530,500.00","530,500.00"
