"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-03-2020       TTM","31-03-2020       TTM"
"2","Sales/Revenue","16,977.64","24,752.97","44,766.81","31,295.75","31,089.20","30,048.20","30,048.20"
"3","Pretax Income","3,055.94","4,386.15","6,202.16","1,580.90","3,028.75","602.75","602.75"
"4","Net Income","2,863.85","4,345.49","6,016.31","613.15","1,989.80","(261.20)","(261.20)"
"5","Cash & Short-Term Investments","3,782.95","7,398.17","17,250.28","29,209.77","25,464.39","24,873.25","24,873.25"
"6","Cash Only","3,782.95","7,398.17","17,250.28","26,679.17","25,464.39","24,087.50","24,087.50"
"7","Total Accounts Receivables","6,808.88","10,513.18","19,050.67","15,576.38","19,014.69","17,400.00","17,400.00"
"8","Inventories","2,185.54","1,973.52","2,084.35","1,504.11","1,169.11","1,356.75","1,356.75"
"9","Net Property, Plant & Equipment","419.57","501.16","745.45","1,481.19","2,453.75","2,499.00","2,499.00"
"10","Short Term Debt","38.48","367.78","552.60","670.66","457.44","482.75","482.75"
"11","Long Term Debt","12.17","1,644.40","1,995.20","1,694.35","561.14","619.75","619.75"
"12","Net Operating Cash Flow","595.80","4,659.49","9,077.66","(3,226.35)","(720.72)","2,222.00","2,222.00"
"13","Capital Expenditures","(1,592.20)","(1,262.27)","(560.68)","(683.32)","(608.03)","(738.00)","(738.00)"
"14","Total Shares Outstanding (million)","243,600.00","243,600.00","243,600.00","243,600.00","487,200.00","487,300.00","243,600.00"
