"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","874,600.00","943,476.00","1,012,609.00","1,203,565.00","1,416,841.00","1,673,898.00","1,788,008.00","1,551,319.00","1,606,444.00","1,712,244.00"
"3","Pretax Income","124,292.00","118,796.00","178,715.00","226,906.00","294,894.00","341,452.00","388,596.00","302,139.00","330,774.00","372,324.00"
"4","Net Income","40,989.00","65,781.00","120,021.00","135,735.00","175,072.00","221,335.00","248,149.00","169,177.00","213,210.00","262,135.00"
"5","Cash & Short-Term Investments","539,805.00","861,388.00","738,981.00","631,219.35","735,165.08","954,667.91","413,741.67","457,290.67","1,074,355.00","1,020,740.00"
"6","Cash Only","193,507.00","43,877.00","48,700.00","44,539.00","31,848.08","89,449.91","64,320.67","51,599.67","102,737.00","58,227.00"
"7","Total Accounts Receivables","249,187.00","251,916.00","212,236.00","266,911.00","289,374.00","317,876.00","428,145.00","320,868.00","365,052.00","362,948.00"
"8","Inventories","255,976.00","216,879.00","225,163.00","237,868.00","278,092.00","283,414.00","409,737.00","540,109.00","546,176.00","527,241.00"
"9","Net Property, Plant & Equipment","304,308.00","325,545.00","458,692.00","488,578.00","499,673.00","597,214.00","730,028.00","721,567.00","727,960.00","746,217.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","256,156.00","219,900.00","148,444.00","40,729.00","73,013.00","74,619.00","68,356.00","142,880.00","51,731.00","53,905.00"
"12","Long Term Debt","278,080.00","174,686.00","67,303.00","49,096.00","27,089.00","30,177.00","95,322.00","105,076.00","584,633.00","562,628.00"
"13","Net Operating Cash Flow","103,747.00","91,635.00","240,364.00","219,094.00","235,968.00","414,192.00","(37,720.00)","225,196.00","282,139.00","126,923.00"
"14","Capital Expenditures","(18,272.00)","(34,440.00)","(153,139.00)","(81,789.00)","(94,625.00)","(143,850.00)","(185,489.00)","(56,875.00)","(60,075.00)","(110,251.00)"
"15","Total Shares Outstanding (million)","988,338.00","988,338.00","988,443.00","974,572.00","1,016,702.54","1,039,504.42","1,074,376.00","1,074,376.00","1,074,376.00","1,074,376.00"
