"1","Financial Year","30-04-2017       3","31-07-2017       4","31-10-2017       1","31-01-2018       2","30-04-2018       Other","31-07-2018       Other","31-10-2018       Other","31-12-2018       Other","31-03-2019       1","30-06-2019       2"
"2","Sales/Revenue","23,436.00","24,609.54","21,519.00","21,519.00","11,970.00","13,082.00","4,578.00","2,447.00","21,793.00","21,142.00"
"3","Pretax Income","2,492.00","1,922.94","2,530.00","1,524.00","896.00","4,294.00","1,050.00","(15,840.00)","1,870.00","3,135.00"
"4","Net Income","-","1,499.50","1,062.00","(745.00)","1,145.00","1,064.00","175.00","(9,706.00)","1,517.00","2,968.00"
"5","Cash & Short-Term Investments","12,862.00","7,869.00","23,145.00","21,078.00","26,456.00","18,941.00","16,686.00","16,292.94","17,802.00","18,514.00"
"6","Cash Only","-","-","-","-","-","-","-","702.60","-","-"
"7","Total Accounts Receivables","57,007.00","77,769.00","90,158.00","93,667.00","96,219.00","98,588.00","101,973.00","99,184.93","111,073.00","119,948.00"
"8","Inventories","51,067.00","38,452.00","38,365.00","44,784.00","44,416.00","48,573.00","63,712.00","80,167.52","85,153.00","87,251.00"
"9","Net Property, Plant & Equipment","15,399.00","16,552.00","16,796.00","25,653.00","25,088.00","2,611.00","2,543.00","2,463.53","2,318.00","2,060.00"
"10","Accrued Payable","-","-","33,350.00","37,421.00","38,095.00","26,042.00","37,470.00","46,563.35","53,882.00","64,277.00"
"11","Short Term Debt","-","-","8,868.00","15,858.00","23,809.00","20,473.00","27,422.00","29,132.60","33,044.00","32,536.00"
"12","Long Term Debt","8,481.00","9,990.00","12,779.00","16,614.00","16,206.00","41,495.00","39,724.00","38,997.60","38,560.00","37,118.00"
"13","Net Operating Cash Flow","(1,031.00)","(4,223.08)","(4,675.00)","(12,207.00)","(25,507.00)","(39,586.00)","(32,095.00)","8,782.06","(9,588.00)","2,982.00"
"14","Capital Expenditures","9.00","(1,814.12)","(537.00)","466.00","(3,238.00)","(25,327.00)","(27,193.00)","1,389.91","(50.00)","(19.00)"
"15","Total Shares Outstanding (million)","-","228,481.00","292,395.22","279,712.00","292,395.22","292,395.22","292,395.22","292,465.22","321,919.22","323,241.22"
