"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","17,899.35","12,482.00","14,033.00","17,276.00","19,876.83","6,532.00","6,392.00","6,871.00","16,721.00","24,783.00"
"3","Pretax Income","5,566.59","1,266.00","2,035.00","3,516.00","3,705.12","(5,305.00)","(8,199.00)","(10,441.00)","(14,112.00)","1,549.00"
"4","Net Income","2,908.85","858.00","2,034.00","3,105.00","2,319.53","(5,503.00)","(7,932.00)","(9,709.00)","(13,985.00)","1,498.00"
"5","Cash & Short-Term Investments","23,127.71","18,454.00","14,454.00","13,460.00","12,546.41","8,024.00","15,042.00","24,705.00","27,611.00","20,792.00"
"6","Cash Only","4,525.99","1,868.00","1,558.00","2,517.00","2,853.13","1,432.00","2,949.00","11,092.00","11,498.00","4,668.00"
"7","Total Accounts Receivables","57,161.34","54,957.00","58,256.00","60,904.00","58,141.21","51,963.00","41,699.00","38,049.00","39,074.00","41,869.00"
"8","Inventories","9,028.30","9,637.00","10,809.00","12,175.00","10,136.86","14,982.00","15,284.00","13,359.00","7,195.00","8,965.00"
"9","Net Property, Plant & Equipment","47,568.28","55,857.00","57,139.00","57,712.00","62,019.09","61,402.00","61,221.00","60,661.00","61,888.00","63,143.00"
"10","Short Term Debt","923.71","2,636.00","1,915.00","2,777.00","2,636.99","7,270.00","7,019.00","3,521.00","3,777.00","3,606.00"
"11","Long Term Debt","5,226.34","9,532.00","9,621.00","9,164.00","9,362.66","6,036.00","6,070.00","8,415.00","8,490.00","7,678.00"
"12","Net Operating Cash Flow","(561.23)","4,717.00","829.00","2,599.00","8,120.81","(173.00)","3,398.00","(629.00)","(5,841.00)","(1,657.00)"
"13","Capital Expenditures","(6,534.64)","(9,773.00)","(3,916.00)","(3,795.00)","(7,502.45)","(4,892.00)","(5,847.00)","(1,992.00)","(3,990.00)","(5,465.00)"
"14","Total Shares Outstanding (million)","860,209.03","860,209.03","860,209.03","860,209.03","859,447.23","856,447.23","943,097.23","1,055,893.73","1,110,470.83","1,113,789.93"
