"1","Financial Year","31-12-2014","31-12-2015","31-03-2017","31-03-2018","31-03-2019","30-06-2019       TTM","","","",""
"2","Sales/Revenue","110,633.00","107,880.21","128,671.75","109,018.64","116,227.72","120,268.72","","","",""
"3","Pretax Income","18,420.00","16,811.66","16,138.90","9,905.71","(483.06)","684.94","","","",""
"4","Net Income","15,754.00","15,957.51","12,704.61","10,399.43","1,643.41","2,908.41","","","",""
"5","Cash & Short-Term Investments","8,226.00","24,634.93","11,329.16","6,773.57","1,823.86","3,596.22","","","",""
"6","Cash Only","8,204.00","14,612.93","9,687.99","6,749.45","1,798.32","3,570.58","","","",""
"7","Total Accounts Receivables","30,833.00","30,448.77","33,418.47","39,683.26","34,010.45","39,575.82","","","",""
"8","Inventories","775.00","864.49","1,268.62","3,340.70","2,708.72","2,856.18","","","",""
"9","Net Property, Plant & Equipment","112,235.00","127,648.15","185,244.36","197,006.37","254,916.01","230,135.50","","","",""
"10","Short Term Debt","10,425.00","5,304.37","14,581.92","16,806.92","19,352.29","22,423.32","","","",""
"11","Long Term Debt","34,456.00","33,871.75","59,221.49","63,691.49","62,251.35","61,937.09","","","",""
"12","Net Operating Cash Flow","16,452.00","19,624.85","24,419.87","17,713.97","15,951.63","11,329.63","","","",""
"13","Capital Expenditures","(33,602.00)","(20,787.03)","(66,710.27)","(12,825.66)","(10,802.60)","(4,477.60)","","","",""
"14","Total Shares Outstanding (million)","170,661.60","216,000.86","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","460,000.00","",""
