"1","Financial Year","30-04-2013","30-04-2014","30-04-2015","30-04-2016","30-04-2017","30-04-2018","31-01-2019       TTM"
"2","Sales/Revenue","-","38,893.00","39,039.00","37,148.73","33,892.66","29,716.40","35,815.40"
"3","Pretax Income","5,258.00","8,186.00","7,298.00","4,889.31","6,052.18","(1,201.72)","(1,332.72)"
"4","Net Income","4,440.00","6,007.00","5,962.00","3,271.10","4,479.06","(1,098.28)","(1,257.28)"
"5","Cash & Short-Term Investments","4,818.00","7,544.00","4,605.00","8,463.89","23,695.58","14,310.39","12,777.00"
"6","Cash Only","4,218.00","6,925.00","3,986.00","7,804.84","18,014.78","8,438.37","9,055.00"
"7","Total Accounts Receivables","13,357.00","9,807.00","7,563.00","11,395.07","9,888.95","9,880.43","11,493.00"
"8","Inventories","9,402.00","9,392.00","10,095.00","10,181.40","10,559.42","15,310.29","15,014.00"
"9","Net Property, Plant & Equipment","13,904.00","15,709.00","21,712.00","22,192.56","28,157.73","32,897.94","31,869.00"
"10","Short Term Debt","1,385.00","1,289.00","1,588.00","-","1,291.58","1,916.35","1,219.00"
"11","Long Term Debt","5,233.00","4,755.00","8,521.00","8,473.97","7,760.27","6,651.36","6,096.00"
"12","Net Operating Cash Flow","1.00","9,223.00","6,873.00","6,596.99","2,525.91","(2,348.04)","132.96"
"13","Capital Expenditures","(1,800.00)","(2,363.00)","(6,588.00)","(926.78)","(6,892.97)","(6,424.96)","(779.96)"
"14","Total Shares Outstanding (million)","1.00","315,800.00","315,800.00","315,800.00","428,800.00","428,800.00","428,800.00"
"15","Financial Year","31-10-2016       2","31-01-2017       3","30-04-2017       4","31-07-2017       1","31-10-2017       2","31-01-2018       3","30-04-2018       4"
"16","Pretax Income","1,928.00","1,634.00","276.18","(912.00)","287.00","1,064.00","(1,640.72)"
"16","Sales/Revenue","8,537.00","7,341.00","6,090.66","4,825.00","7,166.00","10,246.00","7,479.40"
"17","Net Income","1,430.00","1,212.00","210.06","(859.00)","378.00","893.00","(1,510.28)"
"18","Cash & Short-Term Investments","31,244.00","28,797.00","23,696.00","18,826.00","14,316.00","15,313.00","14,310.39"
"19","Cash Only","20,497.00","18,028.00","18,015.00","13,145.00","8,554.00","9,485.00","8,438.37"
"20","Total Accounts Receivables","11,225.00","11,532.00","9,890.00","8,696.00","10,438.00","9,496.00","9,880.43"
"21","Inventories","8,534.00","10,225.00","10,559.00","10,691.00","14,375.00","15,149.00","15,310.29"
"22","Net Property, Plant & Equipment","22,042.00","23,213.00","28,153.00","32,287.00","33,208.00","32,854.00","32,897.94"
"23","Accrued Payable","-","-","-","1,119.00","-","-","-"
"24","Short Term Debt","1,089.00","1,424.00","1,292.00","1,453.00","1,495.00","2,072.00","1,916.35"
"25","Long Term Debt","8,104.00","7,852.00","7,760.00","7,528.00","7,208.00","6,877.00","6,651.36"
"26","Net Operating Cash Flow","755.00","(1,348.00)","1,996.91","(297.00)","(3,133.00)","920.00","161.96"
"27","Capital Expenditures","(106.00)","(1,540.00)","(5,098.97)","(4,370.00)","(1,370.00)","(139.00)","(545.96)"
"28","Total Shares Outstanding (million)","428,800.00","428,800.00","428,800.00","428,800.00","428,800.00","428,800.00","428,800.00"
