"1","Financial Year","30-04-2010","31-03-2011","31-03-2012","31-03-2013","31-03-2014","31-03-2015","31-03-2016","31-03-2017","31-03-2018","31-03-2019"
"2","Sales/Revenue","453,200.00","501,373.00","560,876.00","581,425.00","544,055.00","562,029.00","503,414.00","740,091.00","763,104.00","598,645.00"
"3","Pretax Income","30,721.00","55,460.00","41,275.00","56,881.00","65,577.00","43,691.00","36,916.00","73,831.00","51,386.00","38,574.00"
"4","Net Income","11,644.00","29,361.00","19,924.00","36,616.00","38,418.00","27,521.00","24,869.00","48,654.00","32,937.00","21,484.00"
"5","Cash & Short-Term Investments","69,371.00","88,543.00","94,858.00","148,497.00","156,742.00","154,425.00","164,026.00","164,225.00","174,381.00","199,911.00"
"6","Cash Only","28,752.00","36,143.00","24,167.00","-","-","-","-","-","-","98,393.00"
"7","Total Accounts Receivables","42,428.00","46,253.00","52,855.00","41,928.00","51,321.00","58,019.00","49,869.00","82,903.00","87,534.00","68,848.00"
"8","Inventories","58,534.00","75,104.00","64,669.00","54,532.00","61,412.00","53,050.00","61,952.00","80,253.00","70,866.00","65,996.00"
"9","Net Property, Plant & Equipment","97,021.00","102,837.00","115,465.00","115,234.00","125,749.00","148,260.00","151,628.00","169,085.00","171,470.00","195,682.00"
"10","Accrued Payable","7,182.00","6,199.00","13,606.00","-","37,106.00","39,933.00","33,606.00","-","-","-"
"11","Short Term Debt","1,984.00","1,256.00","856.00","856.00","-","-","327.00","408.00","217.00","187.00"
"12","Long Term Debt","-","-","-","-","-","-","481.00","197.00","123.00","212.00"
"13","Net Operating Cash Flow","19,035.00","33,663.00","36,598.00","79,933.00","35,515.00","45,132.00","28,909.00","17,209.00","56,254.00","65,688.00"
"14","Capital Expenditures","(11,142.00)","(8,636.00)","(15,907.00)","(12,747.00)","(23,145.00)","(46,504.00)","(17,577.00)","(21,372.00)","(34,453.00)","(38,963.00)"
"15","Total Shares Outstanding (million)","136,934.00","136,934.13","136,934.00","136,934.00","136,934.13","136,934.13","136,934.13","136,934.13","136,934.13","136,934.13"
