"1","Financial Year","31-01-2017       4","30-04-2017       1","31-07-2017       2","31-10-2017       3","31-01-2018       4","30-04-2018       Other","30-06-2018       Other","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","160,826.21","19,397.00","19,408.00","20,727.00","26,676.00","24,343.00","22,572.23","20,773.00","23,757.00","22,737.00"
"3","Pretax Income","48,652.68","5,257.00","4,051.00","2,414.00","(6,431.00)","(2,543.00)","(4,407.17)","713.00","(1,288.00)","539.00"
"4","Net Income","46,446.07","5,257.00","4,051.00","2,414.00","(6,491.00)","(3,989.00)","(7,199.92)","713.00","(1,288.00)","482.00"
"5","Cash & Short-Term Investments","274,643.46","301,163.00","34,173.00","39,992.00","45,825.00","23,801.00","20,344.52","15,224.00","11,719.00","8,174.00"
"6","Cash Only","170.23","-","-","-","-","-","-","-","-","-"
"7","Total Accounts Receivables","18,069.84","16,187.00","19,543.00","53,333.00","71,840.00","49,228.00","59,889.43","53,691.00","63,306.00","69,507.00"
"8","Inventories","14,267.82","11,930.00","12,342.00","11,621.00","15,383.00","13,864.00","13,602.65","26,311.00","25,873.00","26,242.00"
"9","Net Property, Plant & Equipment","221,477.95","223,229.00","228,735.00","234,306.00","247,804.00","282,721.00","108,269.20","109,823.00","101,661.00","113,513.00"
"10","Accrued Payable","-","-","384,994.00","-","-","-","-","-","-","-"
"11","Short Term Debt","609.51","191.00","191.00","438.00","788.00","2,643.00","2,593.19","3,096.00","4,578.00","4,007.00"
"12","Long Term Debt","659.27","582.00","544.00","1,344.00","4,643.00","4,424.00","4,099.32","4,363.00","11,802.00","11,565.00"
"13","Net Operating Cash Flow","87,522.38","(4,788.00)","922.00","(4,214.00)","(14,544.00)","(683.00)","12,233.53","(1,867.00)","(7,840.00)","1,409.00"
"14","Capital Expenditures","(126,976.35)","(3,037.00)","(4,466.00)","(14,240.00)","(26,120.00)","(59,219.00)","(24,475.81)","(2,988.00)","(3,946.00)","(3,886.00)"
"15","Total Shares Outstanding (million)","4,543,179.00","4,800,751.00","4,545,711.00","4,717,697.89","5,102,777.44","5,251,537.75","5,211,637.75","5,199,237.75","5,199,237.75","5,340,383.75"
