"1","Financial Year","31-01-2018       4","30-04-2018       Other","30-06-2018       Other","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3"
"2","Sales/Revenue","26,676.00","24,343.00","22,572.23","20,773.00","23,757.00","22,737.00","25,902.60","23,233.00","29,173.00","19,722.00"
"3","Pretax Income","(6,431.00)","(2,543.00)","(4,407.17)","713.00","(1,288.00)","539.00","5,331.68","404.00","534.00","(56.00)"
"4","Net Income","(6,491.00)","(3,989.00)","(7,199.92)","713.00","(1,288.00)","482.00","(6,517.45)","376.00","524.00","(600.00)"
"5","Cash & Short-Term Investments","45,825.00","23,801.00","20,344.52","15,224.00","11,719.00","8,174.00","27,643.75","20,249.00","15,038.00","11,218.00"
"6","Cash Only","-","-","16,041.66","10,880.00","8,208.00","4,641.00","24,019.16","16,604.00","11,377.00","7,302.00"
"7","Total Accounts Receivables","71,840.00","49,228.00","59,889.43","53,691.00","63,306.00","69,507.00","31,736.55","36,098.00","42,046.00","47,684.00"
"8","Inventories","15,383.00","13,864.00","13,602.65","26,311.00","25,873.00","26,242.00","25,206.17","24,886.00","23,757.00","21,420.00"
"9","Net Property, Plant & Equipment","247,804.00","282,721.00","108,269.20","109,823.00","101,661.00","113,513.00","34,584.91","37,636.00","36,615.00","25,012.00"
"10","Short Term Debt","788.00","2,643.00","2,593.19","3,096.00","4,578.00","4,007.00","4,285.42","6,438.00","5,764.00","6,439.00"
"11","Long Term Debt","4,643.00","4,424.00","4,099.32","4,363.00","11,802.00","11,565.00","11,128.65","14,175.00","15,268.00","13,974.00"
"12","Net Operating Cash Flow","(14,544.00)","(683.00)","12,233.53","(1,867.00)","(7,840.00)","1,409.00","16,607.96","(5,207.00)","(4,540.00)","(2,290.00)"
"13","Capital Expenditures","(26,120.00)","(59,219.00)","(24,475.81)","(2,988.00)","(3,946.00)","(3,886.00)","2,423.31","(168.00)","(629.00)","(787.00)"
"14","Total Shares Outstanding (million)","5,102,777.44","5,251,537.75","5,211,637.75","5,199,237.75","5,199,237.75","5,193,837.75","5,188,737.75","5,188,737.75","5,137,807.75","5,122,437.75"
