"1","Financial Year","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4"
"2","Sales/Revenue","22,857.00","16,536.00","26,055.00","22,077.00"
"3","Pretax Income","4,047.00","1,181.00","1,402.00","9,794.00"
"4","Net Income","2,721.00","887.00","630.00","7,521.00"
"5","Cash & Short-Term Investments","10,877.00","19,180.00","42,473.00","32,553.00"
"6","Cash Only","3,407.00","7,849.00","1,555.00","1,896.00"
"7","Total Accounts Receivables","28,382.00","22,683.00","20,826.00","7,006.00"
"8","Inventories","18,616.00","22,089.00","13,511.00","13,197.00"
"9","Net Property, Plant & Equipment","19,900.00","21,105.00","22,078.00","23,527.00"
"10","Short Term Debt","1,674.00","1,748.00","1,958.00","1,148.00"
"11","Long Term Debt","10,749.00","10,840.00","11,637.00","7,386.00"
"12","Net Operating Cash Flow","318.00","8,988.00","1,445.00","509.00"
"13","Capital Expenditures","(1,284.00)","(1,814.00)","(1,878.00)","(1,425.00)"
"14","Total Shares Outstanding (million)","227,874.00","227,874.00","285,000.00","285,000.00"
