"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","31-03-2019       TTM"
"2","Sales/Revenue","207,647.67","305,783.53","386,066.50","418,687.75","428,980.18","462,061.39","581,910.42","728,399.00","679,021.00","679,021.00"
"3","Pretax Income","15,677.28","23,865.97","38,574.17","45,593.87","63,081.18","91,542.00","111,619.61","114,463.00","30,107.00","30,107.00"
"4","Net Income","11,298.42","17,227.61","27,864.97","31,019.42","46,612.06","67,544.06","80,769.61","87,101.00","21,802.00","21,802.00"
"5","Cash & Short-Term Investments","15,733.73","24,786.20","23,820.15","74,177.89","46,961.95","52,579.82","53,820.05","26,653.00","44,001.50","44,001.50"
"6","Cash Only","-","-","-","57,591.79","12,845.29","35,885.64","32,790.90","20,748.00","32,987.50","32,987.50"
"7","Total Accounts Receivables","98,270.60","116,019.90","126,055.15","149,204.91","208,502.13","273,333.50","345,243.06","498,402.00","540,899.25","540,899.25"
"8","Net Property, Plant & Equipment","27,125.23","34,005.88","52,073.29","48,654.14","67,668.07","74,569.96","98,062.65","105,062.00","95,993.75","95,993.75"
"9","Accrued Payable","-","-","-","-","-","-","-","-","237,698.25","237,698.25"
"10","Short Term Debt","9,801.27","16,262.01","19,807.46","20,805.35","15,168.39","26,511.32","33,387.02","51,108.00","68,161.50","68,161.50"
"11","Long Term Debt","2,456.52","7,606.26","13,492.69","9,141.31","7,994.92","4,354.54","12,527.34","13,135.00","10,734.25","10,734.25"
"12","Net Operating Cash Flow","13,146.75","11,083.86","27,121.08","18,184.65","26,728.19","47,853.18","52,761.92","11,336.00","(10,929.00)","(10,929.00)"
"13","Capital Expenditures","(7,388.58)","(2,473.38)","(15,053.25)","(5,138.42)","(29,424.09)","(26,217.59)","(30,981.69)","(24,049.00)","(3,574.00)","(3,574.00)"
"14","Total Shares Outstanding (million)","2,000.00","2,000.00","5,000.00","1,337,500.03","1,337,500.03","1,337,500.03","1,337,500.03","1,337,500.03","1,337,500.03","1,337,500.03"
