"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-03-2020       TTM","",""
"2","Sales/Revenue","10,117.72","11,483.02","8,704.13","14,272.74","27,296.70","12,343.49","15,494.68","15,343.00","",""
"3","Pretax Income","6,848.00","6,635.34","1,309.09","(1,870.63)","2,156.58","(4,313.25)","2,949.40","633.00","",""
"4","Net Income","6,763.48","6,470.12","1,847.37","(2,136.28)","1,566.58","(4,357.33)","2,486.27","163.00","",""
"5","Cash & Short-Term Investments","3,010.01","5,505.12","34,162.46","21,638.22","15,796.96","13,195.71","10,877.15","11,033.54","",""
"6","Cash Only","1,175.10","638.82","388.67","2,064.26","1,724.08","1,976.69","1,954.80","2,467.95","",""
"7","Total Accounts Receivables","11,384.67","13,713.75","5,198.62","9,886.02","18,937.41","13,026.40","13,184.54","14,206.14","",""
"8","Inventories","-","-","-","22.26","16.06","6.12","0.92","1.73","",""
"9","Net Property, Plant & Equipment","1,386.10","2,662.26","4,368.62","4,312.20","3,504.58","2,820.66","2,225.05","2,264.51","",""
"10","Accrued Payable","682.63","312.72","-","1,800.97","9,229.93","5,469.16","2,647.70","2,341.18","",""
"11","Short Term Debt","54.57","-","71.12","74.35","98.69","198.93","407.81","297.45","",""
"12","Long Term Debt","42.88","-","735.60","661.25","649.07","969.58","923.88","959.72","",""
"13","Net Operating Cash Flow","5,679.86","3,704.33","1,887.87","(8,454.20)","(3,499.11)","(1,710.92)","(2,241.25)","(5,162.25)","",""
"14","Capital Expenditures","(96.76)","(1,621.14)","(1,726.94)","(980.97)","(170.14)","(77.33)","(39.59)","(80.59)","",""
"15","Total Shares Outstanding (million)","148,533.00","148,533.00","200,000.00","200,000.00","225,806.45","225,806.45","248,387.05","251,192.00","225,806.45","403,644.16"
