"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-06-2021       1","30-09-2021       2"
"2","Sales/Revenue","15,661.00","16,148.00","17,158.17","17,642.00","13,751.00","19,373.00","17,929.00","17,340.00","29,073.00","43,307.00"
"3","Pretax Income","22.00","16.00","(492.05)","(604.00)","(1,641.00)","(500.00)","(666.00)","(6,507.00)","(3,597.00)","(1,842.00)"
"4","Net Income","(93.00)","15.00","(639.15)","(604.00)","(1,641.00)","(500.00)","(666.00)","(6,530.00)","(3,597.00)","(1,848.00)"
"5","Cash & Short-Term Investments","3,088.00","8,381.00","8,623.36","2,409.00","4,212.00","2,475.00","12,881.00","33,696.00","35,208.00","107,994.00"
"6","Cash Only","3,088.00","8,381.00","8,623.36","2,409.00","4,212.00","2,475.00","12,881.00","33,696.00","35,208.00","107,994.00"
"7","Total Accounts Receivables","21,573.00","20,609.00","15,581.64","21,555.00","19,466.00","27,459.00","22,898.00","58,766.00","71,272.00","43,658.00"
"8","Inventories","31,840.00","33,307.00","32,650.98","32,642.00","34,229.00","33,707.00","35,305.00","31,891.00","29,972.00","32,244.00"
"9","Net Property, Plant & Equipment","43,261.00","43,875.00","50,200.81","50,670.00","54,234.00","51,826.00","56,110.00","58,606.00","56,150.00","56,637.00"
"10","Short Term Debt","36,181.00","33,025.00","37,960.45","34,866.00","36,661.00","38,138.00","39,984.00","42,359.00","41,586.00","39,784.00"
"11","Long Term Debt","3,765.00","3,373.00","893.22","3,431.00","3,049.00","4,516.00","3,896.00","3,279.00","2,794.00","2,324.00"
"12","Net Operating Cash Flow","(569.00)","5,346.00","9,427.98","(1,645.00)","1,073.00","(8,879.00)","(7,671.00)","10,551.00","(5,699.00)","7,075.00"
"13","Capital Expenditures","(2,460.00)","(2,480.00)","(8,062.81)","(2,278.00)","(3,685.00)","(2,408.00)","(13,633.00)","(19,158.00)","(987.00)","(5,141.00)"
"14","Total Shares Outstanding (million)","299,404.15","329,344.55","329,344.55","329,344.55","389,344.55","428,147.75","513,776.75","554,776.75","590,571.28","2,303,227.91"
