"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       Other","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","78,255.93","169,895.00","153,864.00","143,102.00","52,333.70","79,290.00","119,748.00","65,793.00","63,326.00","234,204.00"
"3","Pretax Income","(5,006.08)","31,287.00","8,457.00","15,746.00","(550.06)","(5,776.00)","3,937.00","11,599.00","1,132.00","15,663.00"
"4","Net Income","(12,217.22)","28,971.00","5,062.00","9,148.00","(7,246.00)","(6,286.00)","(1,269.00)","2,144.00","1,623.00","506.00"
"5","Cash & Short-Term Investments","25,819.00","30,168.00","29,842.00","43,212.00","27,870.00","20,946.00","17,322.00","19,106.00","28,832.00","30,061.00"
"6","Cash Only","18,518.00","22,854.00","22,528.00","35,897.00","20,555.00","13,953.00","10,430.00","12,214.00","21,938.00","23,167.00"
"7","Total Accounts Receivables","175,520.00","187,878.00","264,204.00","224,644.00","153,587.00","214,219.00","213,140.00","206,090.00","214,484.00","264,188.00"
"8","Inventories","12,316.00","9,547.00","9,031.00","8,218.00","8,743.00","8,743.00","8,743.00","8,743.00","8,743.00","8,743.00"
"9","Net Property, Plant & Equipment","7,063.00","6,634.00","6,203.00","5,498.00","10,039.00","9,442.00","8,923.00","8,652.00","8,435.00","7,996.00"
"10","Accrued Payable","297,697.00","316,144.00","423,845.00","366,249.00","278,578.00","301,505.00","363,855.00","311,411.00","318,767.00","482,218.00"
"11","Short Term Debt","613,592.00","637,944.00","658,419.00","767,170.00","790,216.00","806,671.00","814,605.00","806,899.00","795,578.00","784,730.00"
"12","Long Term Debt","1,334.00","898.00","684.00","555.00","4,906.00","5,059.00","4,810.00","4,639.00","4,931.00","4,706.00"
"13","Net Operating Cash Flow","(88,727.00)","(17,181.00)","(21,184.00)","(93,200.00)","(25,652.00)","(9,762.00)","(2,389.00)","(968.00)","10,165.00","11,585.00"
"14","Capital Expenditures","(23.00)","(19.00)","(5.00)","-","(6,078.00)","(41.00)","(93.00)","(373.00)","(340.00)","(433.00)"
"15","Total Shares Outstanding (million)","131,016.75","144,118.43","144,118.43","144,118.43","144,118.43","144,118.43","144,118.43","144,118.43","144,118.43","144,118.43"
