"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","81,812.00","106,086.00","98,091.69","54,724.00","120,888.00","121,679.00","163,314.17","76,750.00","86,325.00","95,585.00"
"3","Pretax Income","28,796.00","20,668.00","20,145.13","6,620.00","17,721.00","24,069.00","31,228.70","11,028.00","15,267.00","16,369.00"
"4","Net Income","20,976.00","14,833.00","15,188.78","5,323.00","11,393.00","15,142.00","21,618.60","7,214.00","9,759.00","10,709.00"
"5","Cash & Short-Term Investments","87,390.00","179,069.00","191,806.34","210,672.00","224,353.00","287,304.00","271,401.96","244,421.00","214,826.00","208,782.00"
"6","Total Accounts Receivables","154,469.00","158,631.00","117,050.34","95,415.00","97,948.00","112,962.00","112,145.83","126,651.00","111,961.00","150,324.00"
"7","Inventories","336,397.00","362,331.00","357,762.72","344,403.00","353,600.00","332,643.00","311,458.75","315,160.00","302,529.00","313,438.00"
"8","Net Property, Plant & Equipment","98,997.00","98,362.00","100,579.47","99,405.00","98,659.00","107,184.00","131,597.19","134,993.00","138,491.00","150,652.00"
"9","Accrued Payable","149,519.00","160,434.00","144,642.56","111,592.00","125,019.00","169,140.00","147,178.91","133,097.00","119,774.00","135,199.00"
"10","Short Term Debt","20,369.00","28,740.00","22,441.87","24,492.00","23,074.00","26,753.00","21,474.80","27,652.00","23,739.00","31,917.00"
"11","Long Term Debt","293,541.00","283,818.00","260,783.53","255,477.00","247,923.00","247,414.00","226,132.70","210,913.00","212,915.00","216,395.00"
"12","Net Operating Cash Flow","(53,721.00)","(6,266.00)","41,980.00","23,311.00","24,530.00","75,404.00","6,268.00","(11,806.00)","(5,026.00)","(9,450.00)"
"13","Capital Expenditures","(2,568.00)","(777.00)","(4,205.00)","(357.00)","(589.00)","(10,100.00)","(12,052.00)","(5,051.00)","(5,047.00)","(13,703.00)"
"14","Total Shares Outstanding (million)","341,692.10","427,115.10","427,115.10","427,115.10","427,115.10","427,115.10","427,115.10","427,115.10","640,672.65","640,672.65"
