"1","Financial Year","31-03-2020       1","30-06-2020       2","30-09-2020       3"
"2","Sales/Revenue","13,078.00","9,539.00","18,192.00"
"3","Pretax Income","1,655.00","177.00","3,959.00"
"4","Net Income","909.00","60.00","2,595.00"
"5","Cash & Short-Term Investments","5,496.00","6,986.00","29,235.00"
"6","Total Accounts Receivables","1,508.00","1,798.00","1,257.00"
"7","Inventories","2,151.00","2,268.00","2,368.00"
"8","Net Property, Plant & Equipment","50,680.00","50,679.00","51,865.00"
"9","Accrued Payable","7,692.00","8,228.00","5,959.00"
"10","Short Term Debt","4,362.00","4,709.00","4,700.00"
"11","Long Term Debt","23,438.00","24,105.00","25,983.00"
"12","Net Operating Cash Flow","1,338.00","3,849.00","3,468.00"
"13","Capital Expenditures","(1,040.00)","(829.00)","(61.00)"
"14","Total Shares Outstanding (million)","200,000.00","200,000.00","270,000.00"
