"1","Financial Year","30-06-2017","30-06-2018","30-06-2019","31-03-2020       TTM","","","","","",""
"2","Sales/Revenue","26,350.00","62,773.00","63,065.00","73,845.00","","","","","",""
"3","Pretax Income","14,660.00","37,610.00","34,049.00","48,407.00","","","","","",""
"4","Net Income","14,660.00","37,610.00","34,049.00","48,407.00","","","","","",""
"5","Cash & Short-Term Investments","24,972.00","23,965.00","12,867.00","23,484.00","","","","","",""
"6","Cash Only","13,695.00","15,532.00","12,867.00","23,484.00","","","","","",""
"7","Total Accounts Receivables","7,618.00","5,396.00","12,573.00","7,159.75","","","","","",""
"8","Net Property, Plant & Equipment","323.00","1,742.00","1,190.00","1,612.00","","","","","",""
"9","Accrued Payable","11,633.00","6,021.00","2,688.00","8,947.25","","","","","",""
"10","Short Term Debt","616.00","462.00","6,779.00","4,873.50","","","","","",""
"11","Long Term Debt","86,170.00","86,513.00","93,390.00","253,248.00","","","","","",""
"12","Net Operating Cash Flow","30,134.00","40,917.00","22,973.00","51,467.00","","","","","",""
"13","Capital Expenditures","(343.00)","(1,513.00)","(875.00)","(1,734.00)","","","","","",""
"14","Total Shares Outstanding (million)","505,300.00","505,300.00","505,300.00","505,300.00","505,300.00","711,193.35","","","",""
