"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-06-2021","31-12-2021       TTM","",""
"2","Sales/Revenue","293,505.00","268,656.00","242,567.00","303,166.00","308,193.00","199,536.00","39,761.00","(941.00)","",""
"3","Pretax Income","28,835.00","32,765.00","15,159.00","9,695.00","(36,226.00)","(155,468.00)","(236,956.00)","(11,535.00)","",""
"4","Net Income","21,545.00","25,157.00","11,282.00","6,929.00","(28,961.00)","(157,779.00)","(239,104.00)","(11,012.00)","",""
"5","Cash & Short-Term Investments","45,060.00","35,705.00","23,588.00","30,382.00","37,852.00","28,531.00","13,434.00","11,622.00","",""
"6","Cash Only","-","6,056.00","430.00","2,231.00","999.00","540.00","13,434.00","11,622.00","",""
"7","Total Accounts Receivables","178,272.00","223,145.00","317,829.00","400,568.00","296,213.00","230,246.00","116,507.00","103,719.25","",""
"8","Inventories","245.00","449.00","404.00","232.00","866.00","254.00","81.00","83.00","",""
"9","Net Property, Plant & Equipment","116,286.00","102,167.00","100,813.00","99,139.00","93,200.00","43,624.00","44,316.00","43,756.00","",""
"10","Accrued Payable","102,480.00","-","-","-","-","-","333,121.00","235,437.00","",""
"11","Short Term Debt","45,317.00","61,116.00","78,631.00","94,885.00","68,074.00","38,585.00","21,284.00","22,498.00","",""
"12","Long Term Debt","19,880.00","15,354.00","20,012.00","25,502.00","22,656.00","10,374.00","4,710.00","3,695.75","",""
"13","Net Operating Cash Flow","11,055.00","(25,418.00)","(16,147.00)","(7,808.00)","42,999.00","17,717.00","2,070.00","(2,798.00)","",""
"14","Capital Expenditures","(4,167.00)","(27,130.00)","(9,195.00)","(795.00)","(1,233.00)","(108.00)","-","(34.00)","",""
"15","Total Shares Outstanding (million)","520,000.00","520,000.00","520,000.00","530,350.00","545,350.00","588,350.00","628,350.00","668,950.00","545,350.00","549,517.22"
