"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020"
"2","Sales/Revenue","29,962.00","36,015.00","49,234.00","62,619.00","58,020.00"
"3","Pretax Income","4,660.00","9,583.00","7,801.00","12,572.00","9,670.00"
"4","Net Income","3,240.00","7,390.00","4,445.00","7,831.00","5,641.00"
"5","Cash & Short-Term Investments","2,801.00","3,202.00","5,534.00","8,519.00","26,043.00"
"6","Total Accounts Receivables","1,468.00","3,448.00","2,142.00","2,506.00","1,566.00"
"7","Inventories","978.00","1,381.00","1,862.00","1,810.00","2,220.00"
"8","Net Property, Plant & Equipment","27,021.00","31,698.00","45,416.00","49,122.00","52,943.00"
"9","Accrued Payable","5,388.00","5,069.00","7,385.00","9,327.00","5,785.00"
"10","Short Term Debt","3,786.00","4,876.00","3,488.00","5,792.00","5,191.00"
"11","Long Term Debt","12,036.00","13,204.00","22,294.00","23,011.00","21,222.00"
"12","Net Operating Cash Flow","8,294.00","8,130.00","12,904.00","17,656.00","13,931.00"
"13","Capital Expenditures","(17,769.00)","(1,953.00)","(7,094.00)","(3,714.00)","(5,533.00)"
"14","Total Shares Outstanding (million)","200,000.00","200,000.00","200,000.00","200,000.00","270,000.00"
