"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","29,341.35","21,135.00","24,499.00","26,676.00","27,804.36","22,176.00","23,757.00","31,991.00","34,103.49","22,344.00"
"3","Pretax Income","3,831.58","174.00","(76.00)","1,866.00","3,245.26","444.00","(2,602.00)","2,746.00","3,114.14","(857.00)"
"4","Net Income","3,002.63","61.00","214.00","1,595.00","4,494.62","470.00","(1,815.00)","2,509.00","3,023.71","(747.00)"
"5","Cash & Short-Term Investments","8,179.79","9,758.00","8,689.00","8,660.00","7,874.40","8,226.00","10,248.00","7,762.00","9,835.30","7,398.00"
"6","Cash Only","8,179.79","9,758.00","8,689.00","8,660.00","7,874.40","8,226.00","10,248.00","7,762.00","9,835.30","7,398.00"
"7","Total Accounts Receivables","46,895.82","44,072.00","48,226.00","46,955.00","42,713.63","41,325.00","36,711.00","41,981.00","44,379.00","46,811.00"
"8","Inventories","81,357.58","85,950.00","91,145.00","91,585.00","96,274.90","103,343.00","107,602.00","109,555.00","107,346.35","109,048.00"
"9","Net Property, Plant & Equipment","90,715.01","90,421.00","88,227.00","87,401.00","90,971.20","88,960.00","87,809.00","87,583.00","88,307.90","86,188.00"
"10","Short Term Debt","54,007.16","56,925.00","62,491.00","63,140.00","60,267.77","66,897.00","74,336.00","76,632.00","74,702.39","75,993.00"
"11","Long Term Debt","14,047.60","13,666.00","13,286.00","12,920.00","12,138.89","10,952.00","9,776.00","8,615.00","12,398.27","11,162.00"
"12","Net Operating Cash Flow","4,313.00","1,302.00","(6,241.00)","1,549.00","8,785.32","(4,633.00)","(2,562.00)","(1,200.00)","3,798.28","(1,932.00)"
"13","Capital Expenditures","(6,657.65)","(1,907.00)","(3.00)","(1,374.00)","(5,712.33)","(322.00)","(1,185.00)","(2,137.00)","(3,184.14)","(96.00)"
"14","Total Shares Outstanding (million)","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00"
