"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","44,124.25","43,127.28","60,381.33","67,591.54","77,731.00"
"3","Pretax Income","4,451.43","5,109.45","9,389.79","11,971.50","10,301.00"
"4","Net Income","4,010.21","4,747.13","8,215.68","11,247.63","8,405.00"
"5","Cash & Short-Term Investments","3,581.54","6,439.83","5,061.54","3,800.24","24,140.00"
"6","Total Accounts Receivables","11,201.61","13,386.83","19,098.48","13,377.48","25,020.00"
"7","Inventories","1,783.65","1,328.69","3,355.06","8,678.81","5,487.00"
"8","Net Property, Plant & Equipment","2,968.27","4,658.43","4,205.24","23,088.35","23,271.00"
"9","Accrued Payable","2,639.11","5,079.55","-","-","-"
"10","Short Term Debt","283.31","439.34","785.75","1,118.69","478.00"
"11","Long Term Debt","6,253.79","5,925.77","5,263.20","11,663.00","1,256.00"
"12","Net Operating Cash Flow","2,753.03","5,701.64","2,830.76","13,771.43","(634.00)"
"13","Capital Expenditures","(1,037.28)","(692.54)","(420.57)","(19,941.26)","(1,472.00)"
"14","Total Shares Outstanding (million)","977,181.20","977,181.20","977,181.20","977,181.20","1,221,477.20"
