"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-06-2020       TTM","30-06-2020       TTM"
"2","Sales/Revenue","134,261.51","125,276.14","111,413.84","111,548.47","100,310.35","100,114.36","112,027.49","110,724.83","97,962.83","97,962.83"
"3","Pretax Income","8,509.63","8,349.19","6,972.86","4,482.62","4,993.58","5,209.26","3,702.14","3,093.47","3,830.47","3,830.47"
"4","Net Income","6,708.32","6,947.44","4,980.09","2,911.08","3,546.63","6,364.62","4,187.71","1,853.50","2,423.50","2,423.50"
"5","Cash & Short-Term Investments","3,573.68","4,009.51","3,680.33","11,946.84","8,179.79","7,874.40","9,835.30","15,387.00","12,643.00","12,643.00"
"6","Cash Only","3,573.68","4,009.51","3,680.33","11,946.84","8,179.79","7,874.40","9,835.30","14,337.48","12,111.25","12,111.25"
"7","Total Accounts Receivables","40,837.60","44,579.12","46,325.46","49,893.53","46,895.82","42,713.63","44,379.00","45,216.72","51,025.50","51,025.50"
"8","Inventories","64,929.33","62,841.53","63,553.31","78,903.67","81,357.58","96,274.90","107,346.35","106,081.17","107,300.00","107,300.00"
"9","Net Property, Plant & Equipment","96,405.26","94,262.33","89,006.53","84,063.28","90,715.01","90,971.20","88,307.90","88,628.41","89,268.50","89,268.50"
"10","Short Term Debt","56,809.82","46,807.85","49,001.52","50,334.67","54,007.16","60,267.77","74,702.39","70,770.00","70,630.00","70,630.00"
"11","Long Term Debt","6,534.04","3,546.34","645.18","15,259.45","14,047.60","12,138.89","12,398.27","9,062.47","8,474.25","8,474.25"
"12","Net Operating Cash Flow","10,931.56","12,600.05","10,221.08","823.09","10,647.00","5,395.32","(4,596.72)","20,095.56","28,039.00","28,039.00"
"13","Capital Expenditures","(8,278.46)","(11,133.69)","(7,340.81)","(6,925.76)","(15,494.65)","(8,996.33)","(6,828.14)","(5,563.22)","(12,282.00)","(12,282.00)"
"14","Total Shares Outstanding (million)","157,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00","180,000.00"
