"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","","","",""
"2","Sales/Revenue","54,661.41","61,353.52","81,281.55","144,369.63","163,065.12","156,807.12","","","",""
"3","Pretax Income","6,511.61","2,875.05","7,546.63","12,979.15","16,979.99","18,106.99","","","",""
"4","Net Income","6,050.93","3,050.02","7,162.10","12,062.93","16,259.75","17,942.75","","","",""
"5","Cash & Short-Term Investments","18,347.13","10,467.76","8,277.34","35,100.40","69,441.35","61,870.00","","","",""
"6","Cash Only","18,347.13","10,467.76","8,277.34","35,100.40","31,783.91","61,870.00","","","",""
"7","Total Accounts Receivables","12,704.39","21,508.47","29,659.93","47,368.56","38,480.32","42,932.00","","","",""
"8","Inventories","5,847.10","23,881.16","15,436.31","36,593.23","34,339.03","28,225.00","","","",""
"9","Net Property, Plant & Equipment","9,072.42","10,460.54","9,349.20","9,815.74","21,384.47","21,891.00","","","",""
"10","Short Term Debt","-","5,022.07","3,815.99","14,303.67","24,778.86","29,332.00","","","",""
"11","Long Term Debt","1,545.49","530.43","47.95","1,434.37","8,087.05","7,622.00","","","",""
"12","Net Operating Cash Flow","10,657.41","(6,330.63)","4,156.83","(9,760.04)","27,843.00","23,460.00","","","",""
"13","Capital Expenditures","(2,534.58)","(4,360.74)","(2,254.83)","(3,702.93)","(7,146.47)","(2,061.47)","","","",""
"14","Total Shares Outstanding (million)","236,988.00","236,988.00","248,116.28","327,985.10","398,809.55","398,809.55","248,116.28","446,121.77","",""
