"1","Financial Year","31-05-2019       3","31-08-2019       4","30-11-2019       1","29-02-2020       2","31-05-2020       3","31-08-2020       Other","30-11-2020       Other","28-02-2021       Other","31-05-2021       1","31-08-2021       2"
"2","Sales/Revenue","1,856.00","1,398.21","2,014.00","1,063.00","548.00","2,263.00","714.00","1,487.00","1,009.00","1,468.00"
"3","Pretax Income","(1,093.00)","(2,900.80)","(1,027.00)","(1,721.00)","(965.00)","(1,311.00)","(1,442.00)","(3,526.00)","(2,681.00)","(2,791.00)"
"4","Net Income","(1,093.00)","(2,900.80)","(1,027.00)","(1,721.00)","(965.00)","(1,311.00)","(1,442.00)","(3,526.00)","(2,681.00)","(2,791.00)"
"5","Cash & Short-Term Investments","4,146.00","1,962.00","2,133.00","1,666.00","1,398.00","1,047.00","863.00","1,547.00","2,032.00","3,390.00"
"6","Cash Only","1,062.00","1,369.00","1,501.00","629.00","457.00","229.00","544.00","1,432.00","1,949.00","3,307.00"
"7","Total Accounts Receivables","1,738.00","2,634.00","2,403.00","2,383.00","2,345.00","2,135.00","3,960.00","3,945.00","6,269.00","5,866.00"
"8","Inventories","5,691.00","5,469.00","4,974.00","4,036.00","3,653.00","3,668.00","3,181.00","3,117.00","3,052.00","3,075.00"
"9","Net Property, Plant & Equipment","33,208.00","32,158.00","31,800.00","31,441.00","31,083.00","30,724.00","30,370.00","41,621.00","30,424.00","29,915.00"
"10","Accrued Payable","2,222.00","2,603.00","2,338.00","2,280.00","2,205.00","5,219.00","7,615.00","2,784.00","1,521.00","2,025.00"
"11","Short Term Debt","31.00","31.00","33.00","33.00","33.00","32.00","34.00","4,470.00","4,871.00","5,142.00"
"12","Long Term Debt","112.00","104.00","95.00","86.00","78.00","71.00","61.00","7,542.00","5,961.00","4,515.00"
"13","Net Operating Cash Flow","(942.00)","(2,364.00)","(203.00)","(458.00)","(260.00)","(336.00)","(1,429.00)","(5,588.00)","(3,493.00)","(1,420.00)"
"14","Capital Expenditures","3.00","-","-","-","-","-","(3.00)","(735.00)","(101.00)","(23.00)"
"15","Total Shares Outstanding (million)","427,253.00","427,253.00","431,478.00","431,478.00","431,478.00","431,478.00","431,478.00","474,626.00","500,514.00","526,404.00"
