"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-03-2018  TTM"
"2","Pretax Income","66,050.21","67,685.53","159,570.98","166,603.99","346,071.00","376,496.00"
"3","Consolidated Net Income","61,619.06","67,373.33","156,562.38","151,439.94","304,792.00","321,922.00"
"4","Cash & Short Term Investments","57,042.51","80,049.02","224,676.51","239,798.72","349,247.00",""
"5","Cash Only","57,042.51","80,049.02","194,614.16","187,352.97","300,778.00",""
"6","Total Accounts Receivable","176,839.62","222,755.11","433,961.59","742,124.28","880,821.00",""
"7","Inventories","146,126.69","198,879.87","229,803.65","486,349.39","577,762.00",""
"8","Net Property, Plant & Equipment","79,072.30","134,082.37","349,324.50","490,173.35","658,126.00",""
"9","Short-Term Debt (incl. Current Portion of LTD)","123,773.17","191,928.79","441,433.66","623,431.82","681,284.00",""
"10","Accounts Payable","60,787.05","96,027.24","222,066.01","442,814.20","315,382.00",""
"11","Long Term Debt","54,094.47","51,416.69","72,639.54","16,229.20","24,758.00",""
"12","Accumulated Minority Interest - Total","12,789.05","546.44","7,303.05","7,928.54","3,877.00",""
"13","Net Operating Cash Flow","(16,530.41)","35,351.00","133,408.89","39,507.89","51,983.00","61,626.00"
"14","Capital Expenditures (Total)","(24,524.18)","(61,884.08)","(213,760.74)","(109,526.49)","(259,681.00)","(268,541.00)"
"15","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.07","0.00"
"16","Total Shares Outstanding","1,335,000.00","1,335,000.00","1,335,000.00","1,063,600.00","1,335,000.00","1,335.00"
"17","Dividend Yield (%)","0.00","0.00","0.00","0.00","2.10","0.00"
"18","Financial Year","30-09-2016 Q3","31-12-2016 Q4","31-03-2017 Q1","30-06-2017 Q2","30-09-2017 Q3","31-12-2017 Q4"
"19","Pretax Income","48,384.00","103,920.00","81,210.00","88,314.00","85,792.00","105,872.00"
"20","Consolidated Net Income","45,751.00","96,704.00","77,325.00","82,877.00","67,009.00","79,302.00"
"21","Cash & Short Term Investments","207,497.00","239,798.72","516,890.00","375,880.00","307,865.00","349,247.00"
"22","Cash Only","165,531.00","187,352.97","464,374.00","324,841.00","257,395.00","300,778.00"
"23","Total Accounts Receivable","724,475.00","742,124.28","732,108.00","712,923.00","741,255.00","880,821.00"
"24","Inventories","315,445.00","486,349.39","549,919.00","611,088.00","657,256.00","577,762.00"
"25","Net Property, Plant & Equipment","414,044.00","490,173.35","521,247.00","544,235.00","605,235.00","658,126.00"
"26","Short-Term Debt (incl. Current Portion of LTD)","524,677.00","623,431.82","569,127.00","498,484.00","513,903.00","681,284.00"
"27","Accounts Payable","450,401.00","442,814.20","454,743.00","412,877.00","388,789.00","315,382.00"
"28","Long Term Debt","31,002.00","16,229.20","5,959.00","32,659.00","86,697.00","24,758.00"
"29","Accumulated Minority Interest - Total","6,752.00","7,928.54","7,038.00","6,726.00","5,641.00","3,877.00"
"30","Net Operating Cash Flow","0.00","42,196.89","(5,304.00)","1,129.00","29,825.00","26,333.00"
"31","Capital Expenditures (Total)","0.00","(87,365.49)","(46,729.00)","(44,296.00)","(88,163.00)","(80,493.00)"
"32","Dividends per Share (Cent)","0.00","0.00","0.02","0.02","0.02","0.02"
"33","Total Shares Outstanding","1,335,000.00","1,063,600.00","1,335,000.00","1,335,000.00","1,335,000.00","1,335,000.00"
