"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020       TTM","","",""
"2","Sales/Revenue","199,809.00","264,307.00","234,668.00","265,988.57","272,860.46","302,337.45","250,335.66","","",""
"3","Pretax Income","29,850.00","39,979.00","37,146.00","26,735.27","15,425.40","16,280.43","6,646.26","","",""
"4","Net Income","21,411.00","29,940.00","26,448.00","18,463.08","10,618.14","10,825.18","2,101.06","","",""
"5","Cash & Short-Term Investments","-","-","24,451.00","49,589.38","45,431.32","52,694.69","55,286.39","","",""
"6","Cash Only","-","-","3,621.00","24,581.37","7,708.89","9,165.98","5,502.68","","",""
"7","Total Accounts Receivables","-","-","135,273.00","132,945.18","172,545.38","174,067.91","165,806.46","","",""
"8","Net Property, Plant & Equipment","-","-","105,089.00","151,367.89","151,196.76","140,344.83","128,714.89","","",""
"9","Short Term Debt","-","-","42,641.00","43,457.68","55,631.99","67,569.93","67,795.55","","",""
"10","Long Term Debt","-","-","42,710.00","64,746.15","78,790.42","60,937.07","60,827.72","","",""
"11","Net Operating Cash Flow","32,116.00","32,688.00","23,285.00","20,314.65","3,366.63","12,618.77","25,080.25","","",""
"12","Capital Expenditures","(2,864.00)","(4,405.00)","(2,528.00)","(17,900.00)","(16,022.04)","(3,372.35)","(2,308.46)","","",""
"13","Total Shares Outstanding (million)","402,079.00","402,079.00","402,079.00","402,079.00","400,918.00","402,767.00","401,389.60","402,079.00","532,243.49","532,243.49"
