"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","25,055.18","26,941.00","27,961.00","31,559.00","-","23,180.00","9,530.00","29,553.00","23,337.48","30,191.00"
"3","Pretax Income","(781.73)","(2,276.00)","(4,149.00)","(659.00)","(30,742.93)","(3,366.00)","(6,401.00)","6,995.00","11,138.45","904.00"
"4","Net Income","137.17","(1,837.00)","(3,174.00)","(988.00)","(31,332.85)","(3,485.00)","(6,260.00)","6,995.00","12,177.24","732.00"
"5","Cash & Short-Term Investments","69,799.59","68,350.00","70,958.00","77,618.00","77,969.00","75,972.00","82,683.00","78,342.00","68,873.00","71,996.00"
"6","Total Accounts Receivables","36,412.73","34,964.00","35,310.00","33,553.00","36,058.00","33,434.00","20,027.00","34,075.00","53,407.00","51,329.00"
"7","Inventories","56,318.59","54,757.00","46,374.00","42,854.00","47,002.00","45,529.00","42,743.00","44,102.00","43,854.00","41,044.00"
"8","Net Property, Plant & Equipment","59,181.89","57,880.00","56,686.00","55,589.00","49,409.00","48,296.00","46,672.00","45,841.00","141,247.00","142,840.00"
"9","Accrued Payable","18,905.60","15,722.00","13,140.00","14,452.00","20,082.00","16,498.00","11,494.00","14,202.00","20,941.00","16,237.00"
"10","Short Term Debt","-","-","-","-","346.00","230.00","233.00","236.00","512.00","471.00"
"11","Long Term Debt","-","-","-","-","162.00","221.00","177.00","114.00","1,749.00","1,648.00"
"12","Net Operating Cash Flow","2,159.52","(1,451.00)","2,230.00","6,794.00","589.00","(1,908.00)","6,389.00","(4,137.00)","4,793.00","3,186.00"
"13","Capital Expenditures","(283.99)","(77.00)","(155.00)","(224.00)","(993.00)","(181.00)","(70.00)","(233.00)","(5,006.00)","(237.00)"
"14","Total Shares Outstanding (million)","145,570.59","145,570.59","159,996.40","159,935.90","159,827.20","159,515.10","145,085.69","145,085.69","145,085.69","242,131.63"
