"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-09-2020       TTM","30-09-2020       TTM"
"2","Sales/Revenue","68,876.00","75,162.00","85,152.00","85,296.00","78,682.00","71,778.00","71,778.00"
"3","Pretax Income","14,369.00","16,617.00","18,465.00","15,679.00","9,995.00","8,735.00","8,735.00"
"4","Net Income","10,621.00","12,564.00","14,837.00","12,214.00","7,858.00","7,086.00","7,086.00"
"5","Cash & Short-Term Investments","8,286.00","10,554.00","12,908.00","13,235.00","51,994.00","48,721.50","48,721.50"
"6","Total Accounts Receivables","15,880.00","21,755.00","19,262.00","19,236.00","17,604.00","17,473.25","17,473.25"
"7","Inventories","20,110.00","19,731.00","20,746.00","24,464.00","28,125.00","27,230.25","27,230.25"
"8","Net Property, Plant & Equipment","43,371.00","43,852.00","50,234.00","77,008.00","77,335.00","74,226.50","74,226.50"
"9","Accrued Payable","7,892.00","12,715.00","13,148.00","10,452.00","6,612.00","3,984.50","3,984.50"
"10","Short Term Debt","12,611.00","9,429.00","10,459.00","13,614.00","17,359.00","13,925.75","13,925.75"
"11","Long Term Debt","15,211.00","12,564.00","12,225.00","25,894.00","21,583.00","19,694.50","19,694.50"
"12","Net Operating Cash Flow","10,263.00","19,350.00","21,326.00","12,348.00","8,909.00","11,725.00","11,725.00"
"13","Capital Expenditures","(2,970.00)","(759.00)","(7,710.00)","(10,543.00)","(6,303.00)","(5,964.00)","(5,964.00)"
"14","Total Shares Outstanding (million)","252,936.00","252,936.00","252,936.00","252,936.00","328,489.00","328,489.00","252,936.00"
