"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","103,628.66","71,718.23","146,266.32","358,423.86"
"3","Pretax Income","6,841.09","8,524.37","13,062.28","21,912.35"
"4","Net Income","5,091.00","6,179.14","9,688.34","15,656.78"
"5","Cash & Short-Term Investments","13,989.20","26,053.67","14,971.30","28,151.84"
"6","Cash Only","6,936.33","17,518.46","3,709.42","15,213.95"
"7","Total Accounts Receivables","35,972.57","30,439.15","95,698.13","106,610.64"
"8","Net Property, Plant & Equipment","3,023.92","3,058.25","23,982.02","24,156.86"
"9","Short Term Debt","909.50","322.25","9,209.03","4,102.48"
"10","Long Term Debt","1,473.23","1,524.48","14,244.47","14,468.41"
"11","Net Operating Cash Flow","8,214.91","12,653.51","(6,171.12)","25,269.31"
"12","Capital Expenditures","(243.90)","(361.86)","(12,734.53)","(4,656.80)"
"13","Total Shares Outstanding (million)","270,000.00","270,000.00","270,000.00","270,000.00"
