"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","","","",""
"2","Sales/Revenue","56,953.63","87,097.96","93,123.80","114,551.86","139,095.97","159,618.88","","","",""
"3","Pretax Income","5,259.86","6,259.76","8,799.16","10,184.70","12,414.66","14,507.87","","","",""
"4","Net Income","3,874.03","4,548.15","6,555.24","6,775.77","8,562.72","10,436.91","","","",""
"5","Cash & Short-Term Investments","1,873.42","4,837.94","13,018.02","28,145.81","19,705.12","35,220.54","","","",""
"6","Cash Only","1,635.35","3,720.20","8,904.94","11,902.02","10,510.91","15,132.48","","","",""
"7","Total Accounts Receivables","22,013.73","43,358.95","48,771.75","52,537.78","64,248.49","77,920.30","","","",""
"8","Inventories","166.58","-","-","-","-","-","","","",""
"9","Net Property, Plant & Equipment","2,155.32","6,695.70","6,372.81","9,368.57","7,228.97","7,800.95","","","",""
"10","Short Term Debt","2,545.14","9,205.55","10,173.72","9,510.19","4,528.01","6,049.58","","","",""
"11","Long Term Debt","2,351.69","5,991.44","5,042.28","5,896.54","5,282.83","6,546.33","","","",""
"12","Net Operating Cash Flow","1,065.33","(2,705.34)","9,350.88","2,003.11","1,444.85","1,883.69","","","",""
"13","Capital Expenditures","(227.72)","(4,632.01)","(402.26)","(3,265.57)","(905.19)","(890.60)","","","",""
"14","Total Shares Outstanding (million)","240,000.00","240,000.00","240,000.00","320,000.00","320,000.00","925,525.07","320,000.00","299,021.90","",""
