"1","Financial Year","31-08-2011","31-08-2012","31-08-2013","31-08-2014","31-08-2015","31-08-2016","31-08-2017","31-08-2018","31-08-2019","31-08-2020"
"2","Sales/Revenue","89,826.63","103,245.99","112,905.25","127,175.75","146,418.59","157,566.99","168,957.82","166,445.09","147,709.24","155,366.61"
"3","Pretax Income","12,036.42","17,673.06","20,565.77","26,450.20","33,517.83","36,166.27","39,120.64","27,208.58","27,677.55","30,490.57"
"4","Net Income","10,811.73","14,699.68","15,118.21","20,247.05","23,550.47","28,025.99","30,888.17","21,068.16","22,123.17","23,575.35"
"5","Cash & Short-Term Investments","11,704.72","24,471.41","34,709.85","51,585.47","52,331.15","57,016.42","60,782.33","64,903.66","81,739.63","77,546.60"
"6","Cash Only","10,904.72","22,471.41","16,678.24","26,980.96","32,146.71","25,592.18","31,782.33","30,176.32","31,977.28","35,874.80"
"7","Total Accounts Receivables","7,162.07","6,621.59","9,936.56","8,652.43","9,072.22","10,345.61","12,782.92","16,356.57","13,806.48","15,413.59"
"8","Inventories","25,332.91","22,951.69","23,211.11","21,271.72","26,152.60","26,400.95","32,716.70","30,122.27","23,503.71","32,814.80"
"9","Net Property, Plant & Equipment","36,533.78","35,315.12","33,525.92","33,059.48","32,194.28","39,971.50","43,980.30","50,485.81","56,797.55","63,463.95"
"10","Accrued Payable","-","-","-","-","-","5,633.72","8,814.09","5,856.44","-","-"
"11","Short Term Debt","1,734.70","380.54","364.70","547.37","463.24","-","-","-","-","84.77"
"12","Long Term Debt","3,055.68","2,673.53","2,307.14","1,928.41","1,400.56","-","-","-","-","8.98"
"13","Net Operating Cash Flow","4,396.30","20,071.26","18,647.06","29,637.19","24,714.70","28,472.83","27,497.09","23,879.94","34,377.20","22,428.68"
"14","Capital Expenditures","(8,089.73)","(1,145.91)","(982.38)","(1,765.73)","(2,156.48)","(10,066.83)","(5,821.06)","(10,326.83)","(10,260.44)","(13,739.90)"
"15","Total Shares Outstanding (million)","299,998.00","299,998.00","299,998.50","299,998.50","300,000.00","300,010.00","300,010.00","300,010.00","300,010.95","375,030.78"
