"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2020       TTM","",""
"2","Sales/Revenue","108,599.62","334,863.37","318,877.13","266,565.64","226,915.38","204,624.94","199,747.15","208,168.58","",""
"3","Pretax Income","11,978.30","17,554.84","56,400.46","(363,561.21)","(149,824.99)","(51,802.05)","(446,891.23)","42,307.87","",""
"4","Net Income","8,042.86","113,601.06","59,354.14","(364,086.73)","(152,746.88)","(62,099.69)","(451,188.06)","17,587.40","",""
"5","Cash & Short-Term Investments","53,951.86","47,302.79","74,818.21","95,354.01","58,720.09","47,757.74","51,006.94","39,996.27","",""
"6","Cash Only","37,098.59","32,170.94","66,067.90","-","50,380.73","40,886.50","44,695.04","-","",""
"7","Total Accounts Receivables","118,946.10","83,425.55","90,740.39","79,073.93","71,896.15","93,859.64","61,951.92","67,429.63","",""
"8","Inventories","471.43","1,376.03","1,543.73","1,605.70","3,033.18","3,169.26","668.14","2,582.08","",""
"9","Net Property, Plant & Equipment","1,036,703.16","1,203,594.35","1,378,168.44","1,288,422.87","1,191,849.91","1,114,208.81","627,763.59","622,773.59","",""
"10","Accrued Payable","-","-","-","-","-","-","-","65,307.90","",""
"11","Short Term Debt","145,121.46","402,642.17","129,477.60","181,144.84","206,664.82","337,123.87","600,131.78","453,377.13","",""
"12","Long Term Debt","888,740.68","700,609.81","539,005.78","541,872.32","505,560.53","347,027.45","50,376.52","111,963.60","",""
"13","Net Operating Cash Flow","30,186.54","192,453.20","166,091.95","146,049.14","99,715.97","67,468.74","77,243.89","51,602.82","",""
"14","Capital Expenditures","(62,318.05)","(274,637.42)","(246,982.08)","(139,329.83)","(87,226.77)","(15,400.43)","(8,049.93)","(38,733.05)","",""
"15","Total Shares Outstanding (million)","257,720.00","257,720.05","1,177,285.10","1,177,185.10","1,177,185.10","1,177,185.10","1,177,185.10","2,641,604.50","1,177,185.10","1,065,524.91"
