"1","Financial Year","30-09-2017       2","31-12-2017       3","31-03-2018       4","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2"
"2","Sales/Revenue","152,962.00","172,397.00","120,109.00","124,891.00","134,269.00","134,181.00","132,072.00","118,081.00","107,887.00","124,135.00"
"3","Pretax Income","(16,278.00)","(15,126.00)","(160,045.00)","2,902.00","6,334.00","6,291.00","(39,643.00)","(58,463.00)","-","(9,057.00)"
"4","Net Income","(21,122.00)","(22,437.00)","(158,345.00)","508.00","1,414.00","986.00","(36,433.00)","(62,165.00)","-","(13,081.00)"
"5","Cash & Short-Term Investments","51,795.00","50,367.00","67,675.00","74,147.00","63,604.00","65,960.00","55,509.00","67,898.00","67,747.00","62,858.00"
"6","Total Accounts Receivables","382,315.00","383,973.00","283,963.00","286,273.00","297,571.00","266,227.00","239,933.00","225,744.00","221,246.00","281,291.00"
"7","Inventories","138,836.00","127,079.00","111,730.00","112,168.00","108,871.00","96,039.00","84,490.00","81,380.00","84,961.00","85,992.00"
"8","Net Property, Plant & Equipment","335,413.00","292,500.00","384,624.00","380,562.00","384,952.00","365,857.00","305,756.00","290,601.00","293,511.00","284,294.00"
"9","Accrued Payable","-","221,585.00","231,047.00","255,934.00","228,905.00","222,111.00","150,820.00","184,734.00","-","215,452.00"
"10","Short Term Debt","205,779.00","146,639.00","140,904.00","127,477.00","122,956.00","144,744.00","152,405.00","-","-","121,027.00"
"11","Long Term Debt","46,975.00","87,990.00","76,822.00","76,828.00","77,700.00","49,373.00","49,515.00","50,000.00","125,428.00","48,636.00"
"12","Net Operating Cash Flow","(20,748.00)","25,553.00","42,050.00","20,759.00","(8,924.00)","16,665.00","6,751.00","32,667.00","-","21,318.00"
"13","Capital Expenditures","(2,528.00)","(2,106.00)","(13,530.00)","(2,517.00)","456.00","(1,632.00)","(11,071.00)","(3,623.00)","(2,917.00)","(1,148.00)"
"14","Total Shares Outstanding (million)","2,341,621.00","2,341,621.00","2,341,621.34","2,341,621.34","2,341,621.34","2,341,621.34","2,341,621.34","2,341,621.34","-","468,324.20"
