"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019       TTM"
"2","Sales/Revenue","324,028.00","206,344.00","227,854.00","212,511.00","300,092.00","289,632.00"
"3","Pretax Income","69,645.00","49,325.00","100,833.00","66,957.00","45,635.00","34,885.00"
"4","Net Income","55,558.00","37,778.00","73,639.00","49,760.00","32,590.00","25,288.00"
"5","Cash & Short-Term Investments","41,383.00","56,649.00","70,489.00","74,066.00","73,706.00","110,246.50"
"6","Cash Only","12,103.00","30,694.00","32,404.00","29,844.00","23,187.00","68,493.75"
"7","Total Accounts Receivables","101,498.00","123,076.00","266,152.00","90,297.00","121,872.00","117,975.25"
"8","Inventories","-","-","-","-","17,532.00","17,829.00"
"9","Net Property, Plant & Equipment","26,187.00","25,530.00","25,562.00","27,104.00","30,429.00","30,841.00"
"10","Short Term Debt","1,083.00","1,301.00","22,100.00","38,354.00","46,549.00","37,342.25"
"11","Long Term Debt","228,904.00","251,459.00","304,422.00","348,499.00","316,667.00","295,598.50"
"12","Net Operating Cash Flow","(21,411.00)","12,356.00","(7,366.00)","(13,254.00)","50,124.00","78,340.00"
"13","Capital Expenditures","(12,104.00)","(271.00)","(61,105.00)","(4,397.00)","(9,118.00)","(7,284.00)"
"14","Total Shares Outstanding (million)","613,000.00","613,000.00","613,000.00","613,000.00","613,000.00","753,000.00"
