"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-09-2020       TTM","","",""
"2","Sales/Revenue","245,821.00","271,939.00","257,136.00","288,594.87","383,058.74","411,613.14","286,890.14","","",""
"3","Pretax Income","14,010.00","16,780.00","17,811.00","21,424.97","27,508.59","29,832.14","12,653.14","","",""
"4","Net Income","10,591.00","11,510.00","12,726.00","15,793.79","21,199.62","22,448.17","9,651.17","","",""
"5","Cash & Short-Term Investments","14,572.00","18,263.00","30,384.00","30,447.21","45,278.02","60,122.33","47,431.58","","",""
"6","Total Accounts Receivables","86,228.00","85,693.00","97,892.00","112,161.66","261,858.72","280,436.43","271,851.61","","",""
"7","Net Property, Plant & Equipment","12,062.00","14,247.00","15,660.00","19,535.99","27,120.98","23,883.10","22,677.03","","",""
"8","Accrued Payable","98,487.00","87,051.00","94,022.00","109,106.33","166,585.83","188,970.61","171,874.90","","",""
"9","Short Term Debt","29,866.00","28,202.00","23,507.00","2,658.03","24,446.54","31,044.94","25,005.74","","",""
"10","Long Term Debt","10,138.00","11,856.00","9,382.00","8,848.47","10,053.96","8,645.01","7,514.00","","",""
"11","Net Operating Cash Flow","12,024.00","6,379.00","21,913.00","3,622.29","7,431.25","19,849.57","24,938.57","","",""
"12","Capital Expenditures","(6,262.00)","(2,471.00)","(828.00)","(5,447.32)","(13,800.65)","(1,452.72)","(2,730.72)","","",""
"13","Total Shares Outstanding (million)","8,000.00","8,000.00","8,000.00","535,259.00","535,259.00","535,259.00","535,259.00","535,259.00","532,243.49","532,243.49"
