"1","Financial Year","30-06-2019       2","30-09-2019       Other","31-12-2019       Other","31-03-2020       Other","30-04-2020       Other","31-07-2020       1","31-10-2020       2","31-01-2021       3","30-04-2021       4","31-07-2021       1"
"2","Sales/Revenue","38,214.00","45,330.00","45,235.00","42,885.00","11,602.00","44,576.00","43,200.00","48,506.00","46,617.00","41,931.00"
"3","Pretax Income","(2,084.00)","3,075.00","1,460.00","1,268.00","(62.00)","4,575.00","3,576.00","4,218.00","3,001.00","3,021.00"
"4","Net Income","(2,304.00)","2,760.00","1,437.00","669.00","(588.00)","3,841.00","3,166.00","3,663.00","2,831.00","2,637.00"
"5","Cash & Short-Term Investments","31,165.00","29,658.00","32,107.00","30,564.00","32,515.00","33,777.00","41,028.00","37,428.00","40,830.00","38,528.00"
"6","Cash Only","31,165.00","29,658.00","32,107.00","30,564.00","32,515.00","33,777.00","41,028.00","37,428.00","40,830.00","38,528.00"
"7","Total Accounts Receivables","39,125.00","40,403.00","37,262.00","37,823.00","32,171.00","31,704.00","31,369.00","35,523.00","33,093.00","30,655.00"
"8","Inventories","21,979.00","20,694.00","21,978.00","24,813.00","25,706.00","22,577.00","23,403.00","21,987.00","20,010.00","22,695.00"
"9","Net Property, Plant & Equipment","73,305.00","74,779.00","72,848.00","75,062.00","74,616.00","74,520.00","75,187.00","74,369.00","72,173.00","71,059.00"
"10","Short Term Debt","44,850.00","36,238.00","38,274.00","40,315.00","38,193.00","31,881.00","29,100.00","20,044.00","21,961.00","18,634.00"
"11","Long Term Debt","15,196.00","15,546.00","14,525.00","13,717.00","13,239.00","12,617.00","13,709.00","13,223.00","17,548.00","15,909.00"
"12","Net Operating Cash Flow","17.00","1,891.00","2,109.00","512.00","3,651.00","8,939.00","2,262.00","4,208.00","(1,669.00)","4,440.00"
"13","Capital Expenditures","32.00","(1,509.00)","(534.00)","(313.00)","(621.00)","(788.00)","(863.00)","(1,311.00)","(1,168.00)","(1,495.00)"
"14","Total Shares Outstanding (million)","259,751.50","261,296.40","261,296.40","262,257.90","262,257.90","262,257.90","301,064.70","313,118.30","313,127.30","313,127.30"
