"1","Financial Year","31-03-2016","31-03-2017","31-03-2018","31-03-2019","31-03-2020","31-03-2021","30-09-2021       TTM","","",""
"2","Sales/Revenue","93,982.00","139,333.00","174,201.00","187,129.00","191,520.00","173,778.00","172,099.00","","",""
"3","Pretax Income","4,705.00","7,965.00","6,633.00","9,302.00","4,997.00","9,589.00","5,613.00","","",""
"4","Net Income","3,366.00","6,151.00","5,739.00","7,695.00","4,073.00","7,271.00","3,602.00","","",""
"5","Cash & Short-Term Investments","2,055.00","2,815.00","5,189.00","6,186.00","10,457.00","17,185.00","15,811.00","","",""
"6","Cash Only","2,055.00","2,675.00","5,107.00","6,164.00","10,457.00","17,185.00","14,304.50","","",""
"7","Total Accounts Receivables","11,188.00","15,728.00","19,819.00","16,101.00","14,531.00","12,750.00","13,220.75","","",""
"8","Inventories","3,462.00","5,056.00","4,656.00","5,203.00","5,330.00","5,706.00","6,100.25","","",""
"9","Net Property, Plant & Equipment","47,376.00","95,459.00","97,596.00","95,527.00","113,319.00","101,769.00","102,254.25","","",""
"10","Short Term Debt","11,677.00","17,011.00","16,023.00","9,250.00","11,612.00","10,708.00","10,774.00","","",""
"11","Long Term Debt","13,790.00","33,610.00","42,808.00","40,521.00","43,149.00","32,360.00","31,847.25","","",""
"12","Net Operating Cash Flow","14,639.00","19,913.00","19,758.00","19,905.00","13,882.00","24,396.00","20,802.00","","",""
"13","Capital Expenditures","(3,857.00)","(8,539.00)","(7,376.00)","(5,700.00)","(11,869.00)","(4,138.00)","(6,021.00)","","",""
"14","Total Shares Outstanding (million)","104,296.80","104,296.80","104,296.80","104,296.80","405,823.90","405,823.90","405,824.00","104,296.80","363,149.38","363,149.38"
