"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","30-09-2020       TTM","","",""
"2","Sales/Revenue","86,628.00","169,539.00","276,906.00","296,812.17","274,558.88","322,766.83","343,545.83","","",""
"3","Pretax Income","3,881.00","9,698.00","21,424.00","30,502.36","36,948.57","37,722.83","32,764.83","","",""
"4","Net Income","2,294.00","5,030.00","14,244.00","22,518.20","27,889.83","29,131.87","25,121.87","","",""
"5","Cash & Short-Term Investments","8,007.00","20,779.00","31,971.00","31,481.78","83,329.92","76,694.10","83,665.27","","",""
"6","Cash Only","8,007.00","20,779.00","31,971.00","11,011.60","18,069.08","23,673.46","40,436.36","","",""
"7","Total Accounts Receivables","30,026.00","51,014.00","66,525.00","107,749.82","118,196.58","115,104.84","121,585.82","","",""
"8","Net Property, Plant & Equipment","8,694.00","8,446.00","11,937.00","12,974.68","11,224.13","27,821.75","26,678.44","","",""
"9","Short Term Debt","1,339.00","1,419.00","2,123.00","-","-","-","-","","",""
"10","Long Term Debt","2,565.00","1,143.00","1,925.00","-","-","-","-","","",""
"11","Net Operating Cash Flow","10,760.00","17,987.00","17,355.00","18,821.90","16,844.48","17,328.23","22,817.23","","",""
"12","Capital Expenditures","(4,328.00)","(2,065.00)","(2,623.00)","(5,409.91)","(3,461.45)","(11,096.50)","(3,649.50)","","",""
"13","Total Shares Outstanding (million)","500,000.00","500,000.00","500,000.00","500,000.00","625,000.00","625,000.00","625,000.00","500,000.00","532,243.49","532,243.49"
