"1","Financial Year","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4"
"2","Sales/Revenue","26,492.00","25,245.70","26,116.00","31,245.00","27,687.00","28,467.49","28,471.00","30,854.00","32,407.00","32,755.00"
"3","Pretax Income","7,694.00","5,333.20","5,722.00","10,196.00","7,685.00","9,190.16","8,806.00","10,852.00","12,029.00","9,236.00"
"4","Net Income","6,654.00","8,373.19","8,447.00","10,132.00","8,369.00","8,892.14","8,449.00","10,443.00","9,037.00","11,829.00"
"5","Cash & Short-Term Investments","20,256.00","25,849.77","20,420.00","20,191.00","27,844.00","24,125.39","32,421.00","20,683.00","24,031.00","75,777.00"
"6","Cash Only","20,256.00","25,849.77","20,386.00","19,624.00","27,627.00","24,125.39","32,421.00","7,506.00","24,031.00","75,777.00"
"7","Total Accounts Receivables","40,090.00","24,514.98","27,777.00","32,355.00","37,508.00","41,118.14","39,984.00","40,099.00","43,690.00","29,445.00"
"8","Inventories","1,002.00","1,059.78","1,008.00","1,125.00","1,163.00","1,005.26","940.00","943.00","954.00","1,011.00"
"9","Net Property, Plant & Equipment","283,752.00","325,360.90","348,857.00","371,566.00","393,243.00","424,339.14","447,293.00","454,900.00","498,398.00","534,198.00"
"10","Short Term Debt","36,111.00","43,142.83","43,610.00","38,775.00","44,699.00","45,912.26","35,484.00","36,524.00","48,398.00","18,489.00"
"11","Long Term Debt","107,096.00","126,642.77","139,299.00","150,993.00","156,034.00","161,392.93","174,098.00","172,481.00","159,036.00","282,923.00"
"12","Net Operating Cash Flow","4,275.00","20,887.56","5,705.00","8,054.00","9,900.00","3,552.16","20,061.00","(2,517.00)","23,356.00","28,902.00"
"13","Capital Expenditures","(18,025.00)","(36,421.72)","(19,464.00)","(19,498.00)","(26,617.00)","(15,774.34)","(7,700.00)","(8,226.00)","(15,449.00)","(55,671.00)"
"14","Total Shares Outstanding (million)","1,257,244.06","1,257,399.30","1,267,399.30","1,268,354.86","1,302,787.17","1,422,780.35","1,422,780.35","1,422,780.35","1,422,780.35","1,421,780.35"
